f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.29514,1.88223,7.2912,190.675,0.058214,-19.2606
251.999,7.31797,2.28652,7.31214,184.394,0.0579654,-24.135
317.003,7.3348,2.81265,7.32596,180.703,0.0569756,-29.7232
399,7.34405,3.45784,7.33068,176.686,0.056418,-37.8135
502,7.36745,4.25673,7.34712,173.375,0.0581071,-46.6892
632.008,7.39747,5.11172,7.36805,165.977,0.0571281,-60.2075
796.019,7.53,6.17576,7.4863,161.964,0.060251,-69.3312
1000,7.6747,7.18924,7.61436,152.863,0.0628296,-81.7843
1260,7.84664,8.2007,7.76641,141.377,0.0668554,-95.6136
1590,8.05077,9.03328,7.95091,126.527,0.069909,-108.55
2000,8.27769,9.66582,8.16018,110.6,0.0736916,-122.036
2520,8.50359,10.0894,8.37209,94.0846,0.0746392,-130.83
3169.96,8.59626,10.5516,8.4509,79.0343,0.0706855,-135.037
3979.98,8.80373,10.9671,8.64294,66.9764,0.0760499,-148.199
5019.98,8.91428,11.7589,8.72721,57.5965,0.070628,-152.139
6309.97,9.05389,12.8414,8.82744,50.7546,0.0737678,-161.052
7949.99,9.20145,14.4517,8.9103,45.9718,0.0757233,-168.954
10000,9.35212,16.7169,8.95688,42.8137,0.0759044,-174.117
12599.9,9.55171,19.7947,8.98732,40.8589,0.0714104,-178.205
15900,9.82267,23.5795,9.00253,39.331,0.0682809,175.834
19999.9,10.2225,28.2339,9.00626,38.4836,0.0637744,170.327
25099.9,10.8333,33.5709,9.02636,37.9848,0.0623792,165.716
31599.7,11.7391,39.501,9.05806,37.609,0.0600065,159.584
39800,13.0375,45.7914,9.0907,37.3708,0.0569431,155.675
50099.7,14.8211,52.1923,9.08555,37.1991,0.050259,149.67
63099.1,17.311,58.2915,9.09864,37.1462,0.0455356,146.393
79399.3,20.6252,63.6903,9.14158,37.0604,0.040263,144.317
99899.5,25.0511,68.4056,9.21964,37.1089,0.0351283,144.221
126002,30.847,72.229,9.41495,37.1041,0.0319039,142.627
158000,38.1077,75.4481,9.57483,37.1549,0.0283268,146.038
199002,47.5445,78.1018,9.80246,37.2075,0.0246169,149.665
250997,59.6448,80.2203,10.1313,37.2706,0.0195164,154.156
315987,75.2473,81.8284,10.6955,37.5154,0.0166945,161.558
397999,95.3257,83.0111,11.599,37.8364,0.0150899,164.896
500997,121.927,83.843,13.0771,38.51,0.0118283,178.157
630026,157.263,84.4324,15.2578,39.5399,0.00968011,-170.281
792990,207.566,84.7686,18.9255,41.4855,0.00534215,-133.998
997975,284.744,84.7634,25.988,45.2209,0.00928928,-61.7766
1.25994e+06,421.469,84.3112,41.7781,52.9774,0.0291659,-32.2325
1.58014e+06,724.327,82.2806,97.2933,72.2944,0.0901439,-20.9798
1.99017e+06,2345.15,72.3611,710.621,178.726,0.639248,-43.6058
2.50989e+06,1471.26,-78.0339,305.042,nan,0.274068,-170.119
3.15977e+06,538.197,-84.9236,47.6223,nan,0.170835,-170.882
3.97008e+06,287.662,-85.8138,20.9985,nan,0.153382,-168.539
5.00019e+06,157.729,-84.4736,15.1901,nan,0.168499,-168.428
