f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.38392,1.87403,7.37997,192.156,0.062281,-17.3644
251.999,7.37835,2.33533,7.37222,189.883,0.0646948,-20.9041
317.001,7.47083,2.78892,7.46198,182.504,0.0726636,-22.284
399.001,7.57534,3.41786,7.56186,180.145,0.0724135,-27.5238
502,7.60827,4.19674,7.58787,176.524,0.072481,-33.6055
632.059,7.67187,5.04974,7.64209,170.039,0.071402,-41.2535
795.943,7.76344,6.12109,7.71918,165.528,0.0724307,-50.9082
1000.41,11.3341,4.04496,11.3059,127.192,0.295465,-15.7434
1260,8.0238,8.09754,7.9438,142.762,0.0664203,-75.0045
1590,8.22579,8.9784,8.12501,128.498,0.065421,-85.9529
1999.99,8.4604,9.61205,8.34163,112.418,0.0635979,-100.505
2519.99,8.69375,10.0064,8.56151,95.4054,0.0628784,-115.167
3169.97,8.91172,10.3091,8.76785,80.0718,0.0627322,-127.533
3979.98,9.10651,10.7152,8.94773,67.7069,0.06178,-137.727
5019.98,9.2493,11.4392,9.06557,58.1583,0.0615135,-146.218
6309.97,9.38925,12.4776,9.16748,51.1673,0.061157,-152.894
7950.03,9.5044,14.0464,9.22022,46.1807,0.0612488,-160.881
10000,9.63999,16.2631,9.25426,42.9665,0.0615136,-167.262
12599.9,9.82904,19.2177,9.28132,40.8667,0.0617783,-173.394
15900.1,10.0976,22.9719,9.29681,39.4471,0.0607132,-179.215
20000,10.4846,27.5175,9.29843,38.5478,0.0599788,175.521
25100,11.0899,32.786,9.32326,38.0779,0.0588281,170.028
31599.8,11.9687,38.722,9.3379,37.7087,0.0465163,165.78
39799.8,13.218,45.0558,9.33742,37.4121,0.0511072,156.131
50100.3,15.0229,51.5038,9.35119,37.3509,0.046649,152.903
63099.4,17.4977,57.5,9.40153,37.2226,0.0411946,150.311
79399.8,20.8587,63.0159,9.4645,37.259,0.0361236,148.032
99900.3,25.2379,67.796,9.53752,37.2258,0.0273478,152.835
126001,30.9861,71.8823,9.63573,37.1987,0.0271894,149.926
157998,38.2584,75.1337,9.81577,37.2486,0.0239677,153.088
199001,47.7074,78.0125,9.90876,37.3229,0.0237892,150.047
251001,59.9796,80.0812,10.3316,37.4635,0.0204555,157.762
315987,75.5353,81.6995,10.9047,37.6467,0.0181015,165.267
398006,95.757,82.9437,11.7632,38.0013,0.0156511,172.042
500991,122.333,83.8412,13.1244,38.6384,0.0134773,-179.456
629989,157.981,84.3733,15.4894,39.7186,0.0104167,-169.112
793001,208.348,84.7385,19.106,41.6392,0.0073107,-146.085
997996,285.138,84.7501,26.0903,45.2815,0.0111596,-58.2639
1.26003e+06,419.839,84.3073,41.6449,52.7687,0.0334693,-30.4673
1.5798e+06,725.943,82.3847,96.2031,72.489,0.0909905,-21.0416
1.98996e+06,2329.75,72.7923,689.222,177.99,0.655026,-43.4051
2.50997e+06,1482.22,-77.8633,311.629,nan,0.277408,-170.093
3.16017e+06,540.163,-84.9579,47.4738,nan,0.172214,-171.299
3.96957e+06,289.739,-85.6357,22.0483,nan,0.155523,-169.04
5.00026e+06,158.499,-84.3569,15.5855,nan,0.17323,-168.673
