f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.05538,1.94326,7.05132,190.386,0.0228831,-50.9151
251.999,7.15015,2.33061,7.14424,183.638,0.029541,-48.5325
317.004,7.17301,2.8855,7.16392,181.29,0.0317901,-58.1032
398.998,7.19796,3.52701,7.18432,176.632,0.0353393,-70.442
502,7.26448,4.32984,7.24375,173.883,0.0398897,-81.1744
632.01,7.32512,5.28285,7.29401,169.84,0.0471686,-85.8388
795.995,7.41601,6.31367,7.37103,163.065,0.0556818,-105.537
999.998,7.53653,7.35878,7.47445,153.632,0.0626794,-105.685
1260,7.66792,8.39115,7.58584,141.342,0.0713797,-117.564
1590,7.89427,9.24439,7.79174,126.942,0.0818064,-129.873
2000,8.111,9.86727,7.99102,110.609,0.0882262,-138.076
2519.99,8.33258,10.3686,8.19651,94.7167,0.0958999,-146.476
3169.96,8.55761,10.7337,8.40789,80.0208,0.10215,-154.361
3979.99,8.77066,11.168,8.60457,67.9315,0.0996428,-158.57
5019.98,8.86692,11.9287,8.67544,58.1059,0.109678,-166.437
6309.98,9.02166,13.032,8.78929,51.3118,0.105435,-170.074
7950.02,9.15675,14.7,8.85702,46.5173,0.108324,-175.449
10000,9.30437,16.9831,8.89861,43.2537,0.112143,179.01
12599.8,9.49642,20.0828,8.91901,41.1895,0.111108,174.642
15900,9.77914,23.9788,8.93517,39.7809,0.110786,169.179
19999.9,10.198,28.606,8.95314,38.8549,0.107777,164.107
25099.9,10.8049,33.9823,8.95955,38.2941,0.0990702,158.332
31600.2,11.7237,39.989,8.98229,37.9457,0.0920378,152.835
39799.5,13.0289,46.3813,8.98806,37.7186,0.0841223,147.709
50099.9,14.8687,52.7207,9.006,37.5839,0.0745884,142.372
63099.2,17.3834,58.7595,9.01561,37.4884,0.0648499,138.342
79399.7,20.025,64.3569,8.66611,36.1862,0.0371177,98.0613
99900.6,24.4297,69.2337,8.66175,36.3913,0.0261044,93.6639
125999,30.1625,73.1036,8.7665,36.4549,0.020298,85.4978
157999,37.4922,76.0867,9.01515,36.6585,0.0202185,99.6794
198998,46.7641,78.7325,9.13725,36.6803,0.012343,84.5842
251001,58.6705,80.7288,9.45222,36.7158,0.00990718,64.3644
315997,74.0137,82.2412,9.99206,36.9364,0.0072286,55.3499
397989,94.1176,83.3538,10.893,37.3845,0.00431522,54.5145
500992,119.965,84.0117,12.5154,37.9026,0.00461488,21.0557
629997,154.956,84.5951,14.5958,38.9723,0.00961737,-11.7191
793036,203.389,84.9886,17.7669,40.6624,0.0193291,-19.0032
998003,278.064,85.1009,23.747,44.1818,0.0309134,-24.3919
1.26001e+06,411.505,84.5142,39.3395,51.74,0.0540867,-22.1827
1.5801e+06,706.506,82.5307,91.8418,70.5589,0.116852,-19.0985
1.98999e+06,2287.21,72.7408,678.604,174.689,0.659734,-43.9539
2.50997e+06,1428.02,-77.609,306.428,nan,0.254321,-167.407
3.16002e+06,522.986,-84.4562,50.5235,nan,0.151459,-165.504
3.97031e+06,279.436,-85.1585,23.5841,nan,0.13209,-161.741
5.00019e+06,152.743,-83.6225,16.9666,nan,0.150968,-161.01
