f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.29491,1.87247,7.29101,189.682,0.0581394,-19.0298
252,7.31398,2.29222,7.30813,184.753,0.0572131,-23.5369
317.003,7.33338,2.80061,7.32463,179.895,0.0570235,-28.7804
398.999,7.34582,3.47265,7.33234,177.485,0.0551636,-36.3567
502,7.36466,4.26408,7.34427,173.608,0.05653,-44.7283
632.022,7.45571,5.14427,7.42568,168.343,0.0581848,-52.043
795.996,7.52574,6.15448,7.48237,161.321,0.0572701,-66.9789
1000,7.66943,7.16894,7.60947,152.329,0.059048,-79.4396
1260,7.84493,8.1905,7.76491,141.171,0.0610409,-92.9984
1590,8.05123,9.00997,7.95189,126.21,0.0637116,-105.543
1999.99,8.27395,9.64037,8.15711,110.262,0.0666154,-118.731
2520,8.42779,10.1805,8.2951,94.0786,0.0645167,-121.483
3169.96,8.59543,10.5812,8.44927,79.2454,0.0646293,-130.939
3979.98,8.80364,10.9854,8.64232,67.0856,0.0688519,-144.87
5019.98,8.91042,11.7354,8.72417,57.458,0.0639845,-148.496
6309.99,9.04894,12.8457,8.82246,50.7434,0.0660748,-156.436
7950.01,9.19827,14.4586,8.90694,45.9772,0.0692658,-165.249
10000,9.34611,16.7364,8.9502,42.8348,0.0689446,-170.831
12599.8,9.54199,19.7307,8.98178,40.6908,0.0658868,-175.195
15900,9.81573,23.5967,8.99499,39.3302,0.0627993,178.878
19999.9,10.2147,28.272,8.99618,38.5019,0.061536,173.218
25100,10.8203,33.5879,9.0137,37.9559,0.0598933,167.822
31600,11.7371,39.5539,9.04958,37.6443,0.0592706,162.067
39800,13.0436,45.8793,9.08057,37.4439,0.0556169,156.544
50099.9,14.8359,52.2787,9.07694,37.2797,0.050341,150.855
63099.1,17.346,58.3011,9.11452,37.2249,0.0455613,145.242
79399.2,20.6782,63.7303,9.15214,37.1685,0.0393064,143.191
99900.6,25.0677,68.4881,9.19216,37.1542,0.0330071,143.036
125999,30.9021,72.3208,9.38459,37.1902,0.029722,145.171
158002,38.1722,75.4679,9.57825,37.2205,0.0271961,145.849
199001,47.6381,78.0876,9.83329,37.279,0.0237206,149.472
250998,59.7684,80.2218,10.1507,37.3478,0.0185908,154.904
315990,75.3279,81.7858,10.7625,37.5512,0.0167432,160.907
397998,95.4548,82.9947,11.6418,37.8864,0.0152811,170.722
500995,121.736,83.8777,12.9834,38.4524,0.0109827,-175.627
630027,157.378,84.4507,15.2188,39.5699,0.00942759,-167.354
792997,207.617,84.7646,18.9445,41.495,0.00479675,-111.733
997972,284.441,84.7393,26.0798,45.1711,0.0107337,-60.0128
1.25999e+06,420.502,84.2532,42.1056,52.8486,0.0324483,-30.324
1.58007e+06,723.187,82.3006,96.8894,72.1873,0.0935467,-21.7947
1.98994e+06,2105.94,76.1104,505.534,163.507,0.716026,-43.3513
2.51023e+06,1488.64,-77.9814,309.979,nan,0.27972,-170.296
3.15991e+06,538.295,-84.9586,47.3025,nan,0.171889,-171.079
3.97002e+06,289.638,-85.8354,21.034,nan,0.155692,-169.392
5.00018e+06,157.982,-84.1966,15.9743,nan,0.170923,-169.047
