f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.04883,1.93495,7.04481,189.397,0.0475617,-21.1321
251.999,7.07045,2.39965,7.06425,186.968,0.0461222,-27.7395
317.003,7.09266,2.9021,7.08356,180.289,0.044362,-36.1341
399.002,7.12574,3.56807,7.11193,176.891,0.0464644,-44.5974
502,7.15995,4.37665,7.13907,173.23,0.0528886,-48.385
631.994,7.24763,5.28387,7.21683,168.08,0.0533011,-59.0037
796.014,7.30569,6.3535,7.26082,161.644,0.0568663,-69.4835
1000,7.48151,7.37345,7.41965,152.812,0.0583791,-86.7193
1260,7.61752,8.41337,7.53554,140.782,0.0623153,-101.184
1590,7.83827,9.29062,7.73545,126.666,0.0666067,-113.266
2000,8.06752,9.87295,7.94805,110.079,0.0685789,-121.548
2520,8.27426,10.3753,8.13897,94.1135,0.0708996,-129.226
3169.96,8.49331,10.7218,8.34504,79.3328,0.0726735,-140.281
3979.98,8.68259,11.1618,8.51835,67.2123,0.0773167,-150.354
5019.98,8.94055,11.7519,8.75315,57.7323,0.0865003,-160.947
6309.97,9.02773,12.895,8.80005,50.8158,0.0851768,-165.539
7950.03,9.11743,14.6255,8.822,46.0877,0.0860308,-170.937
10000,9.28419,16.8802,8.88417,42.906,0.0867176,-175.655
12599.9,9.5322,19.8293,8.96701,40.844,0.0892621,179.258
15900,9.82792,23.6678,9.00128,39.4908,0.0885935,173.682
19999.9,10.2442,28.2526,9.02378,38.5888,0.0863273,167.9
25099.9,10.8391,33.6318,9.0248,38.066,0.0822805,162.605
31599.7,11.7299,39.6961,9.02547,37.7344,0.0775259,155.946
39800,12.993,46.1791,8.9964,37.4875,0.0674621,151.819
50100.1,14.8354,52.4051,9.05069,37.3416,0.0647166,144.76
63099.8,17.3683,58.4915,9.07713,37.3488,0.0581548,142.091
79399.7,20.7121,63.8215,9.13754,37.2583,0.0506748,138.239
99901.4,25.1522,68.4401,9.24278,37.2669,0.0430812,138.518
126003,30.9193,72.4887,9.30346,37.2445,0.0341514,139.545
158001,38.1791,75.659,9.45666,37.2597,0.0313707,140.125
198998,47.7136,78.1896,9.76569,37.3527,0.0272399,144.71
251000,59.8942,80.2739,10.1184,37.432,0.0232364,150.271
315991,75.479,81.8661,10.6793,37.634,0.0188712,157.647
397996,95.6866,83.0352,11.603,37.9818,0.016431,165.622
500984,121.961,83.9831,12.7842,38.5316,0.0134168,171.708
630001,158.218,84.3652,15.535,39.777,0.0102489,-170.958
792987,208.4,84.7383,19.1113,41.6502,0.0070117,-137.84
998025,284.872,84.7241,26.1946,45.236,0.0100777,-56.8206
1.25991e+06,410.505,84.364,40.3147,51.6051,0.056113,-18.8278
1.58009e+06,708.044,82.5306,92.0431,70.7128,0.118731,-18.6252
1.98978e+06,2280.59,72.7277,677.138,174.189,0.692901,-42.899
2.51002e+06,1437.93,-77.4483,312.493,nan,0.259894,-167.584
3.15997e+06,524.66,-84.3091,52.0257,nan,0.152562,-165.655
3.97051e+06,288.636,-85.8195,21.0413,nan,0.154983,-169.205
4.99982e+06,158.355,-84.4952,15.191,nan,0.171368,-168.288
