f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.05277,1.93259,7.04875,189.271,0.0227582,-52.489
251.999,7.14695,2.331,7.14104,183.587,0.0291946,-49.7223
317.003,7.17293,2.87986,7.16387,180.933,0.0320175,-58.5007
398.998,7.19592,3.53702,7.18222,177.082,0.0364214,-69.6536
502,7.26463,4.32884,7.2439,173.846,0.0398695,-81.338
632.002,7.31935,5.27145,7.2884,169.344,0.0474417,-87.0353
795.999,7.41125,6.30521,7.36642,162.742,0.056097,-106.617
1000,7.53684,7.337,7.47513,153.186,0.0628943,-107.138
1260,7.67197,8.38061,7.59004,141.241,0.0724909,-118.901
1590,7.89384,9.2294,7.79165,126.731,0.08215,-130.16
2000,8.11265,9.87119,7.99255,110.675,0.0894068,-138.494
2520,8.33782,10.3468,8.20224,94.5786,0.0970339,-146.561
3169.96,8.55071,10.7195,8.4015,79.8516,0.104166,-154.519
3979.99,8.77142,11.1526,8.60577,67.8449,0.100159,-158.352
5019.98,8.86317,11.9348,8.67158,58.1105,0.111032,-166.35
6309.96,9.01367,13.0376,8.78132,51.2879,0.105844,-170.102
7950.03,9.15365,14.6921,8.85435,46.4769,0.109751,-175.001
10000,9.29773,16.9988,8.89152,43.2617,0.11385,179.726
12599.7,9.49038,20.0861,8.91315,41.1701,0.113636,174.953
15900,9.77425,23.984,8.93034,39.7693,0.111768,169.683
19999.9,10.1954,28.6226,8.94943,38.8656,0.10913,164.977
25100,10.7987,33.9657,8.95609,38.2554,0.100641,159.487
31600,11.7208,39.9618,8.98369,37.9152,0.0944369,154.636
39799.8,13.0257,46.355,8.99021,37.6928,0.08623,148.736
50100.1,14.861,52.7171,9.00209,37.5626,0.0766608,143.949
63098.9,17.3936,58.7653,9.01936,37.5128,0.0682799,139.319
79399.6,19.992,64.2845,8.6746,36.1046,0.0405039,100.019
99901,24.3516,69.1686,8.65991,36.2592,0.0291488,92.8886
126002,30.1282,73.0168,8.80021,36.3959,0.0222138,88.7452
158000,37.3328,76.2033,8.90301,36.5207,0.0190246,89.6734
199000,46.7502,78.711,9.15172,36.6662,0.013887,88.5129
250999,58.6912,80.6984,9.48637,36.7259,0.0106171,74.9647
316003,74.2538,82.2222,10.0489,37.0539,0.00634584,86.1848
397997,94.0433,83.3454,10.8981,37.3536,0.00451307,57.5798
501000,119.649,84.1405,12.2149,37.8109,0.00789618,14.6822
629998,154.514,84.6151,14.5006,38.8622,0.011857,-9.01657
793003,203.187,84.9801,17.7792,40.623,0.0182927,-18.42
997980,278.132,84.9884,24.2968,44.1862,0.0293167,-22.3766
1.26002e+06,411.204,84.447,39.7906,51.6959,0.0533311,-21.0514
1.57998e+06,706.595,82.5461,91.6652,70.5754,0.115492,-19.2332
1.98994e+06,2288.25,72.6672,681.719,174.703,0.658389,-43.9915
2.5101e+06,1428.63,-77.658,305.365,nan,0.254658,-167.471
3.16014e+06,522.467,-84.4339,50.6766,nan,0.15004,-165.676
3.96974e+06,279.224,-85.0594,24.0477,nan,0.132647,-161.764
4.99994e+06,152.186,-83.6012,16.9608,nan,0.1489,-160.594
