f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.29728,1.88796,7.29332,191.312,0.0567694,-20.0449
251.999,7.31229,2.28482,7.30647,184.114,0.0565985,-24.9092
317.005,7.3332,2.8347,7.32423,182.077,0.0587014,-31.155
399.002,7.39019,3.42372,7.377,176.042,0.0534358,-40.4773
502,7.4257,4.18387,7.40591,171.76,0.0540543,-50.0612
632.055,7.49045,5.0756,7.46107,166.866,0.0588562,-58.9082
796.041,7.55297,6.13312,7.50974,161.336,0.0621696,-67.7907
1000,7.68802,7.14225,7.62836,152.132,0.0634862,-82.6122
1259.99,7.84,8.16347,7.76056,140.621,0.0674234,-95.6001
1590,8.05465,9.01153,7.95523,126.286,0.0697155,-106.122
1999.99,8.26485,9.66563,8.14753,110.426,0.0742834,-119.733
2520,8.49496,10.0597,8.36436,93.7157,0.0776619,-131.89
3169.93,8.70492,10.4344,8.56097,79.155,0.0814092,-142.795
3980,8.89717,10.8734,8.73743,67.1154,0.082845,-150.798
5019.97,9.04968,11.5692,8.86582,57.5409,0.0830879,-157.917
6309.94,9.18536,12.6647,8.96188,50.7951,0.0832763,-163.13
7950.02,9.29314,14.3426,9.0035,46.0865,0.0851613,-169.589
9999.98,9.43233,16.5867,9.03984,42.8544,0.0774794,-172.089
12599.7,9.62417,19.569,9.06826,40.7184,0.0841211,-179.574
15900,9.90995,23.3695,9.09699,39.3471,0.0757631,176.019
19999.9,10.3156,27.9515,9.11219,38.477,0.0804153,169.773
25099.9,10.9146,33.2818,9.12438,37.9782,0.0774554,165.095
31599.8,11.7809,39.2101,9.1282,37.5097,0.0730191,158.295
39800.2,13.0684,45.553,9.15114,37.3073,0.0669846,153.606
50099.9,14.862,52.0079,9.14834,37.2083,0.0605807,149.636
63099.1,17.3431,58.0427,9.17949,37.1148,0.0490705,146.317
79398.6,20.6871,63.4618,9.24289,37.0983,0.0471034,143.035
99900,25.0747,68.1488,9.33273,37.0774,0.0418102,141.41
126000,30.8644,72.2109,9.42951,37.1217,0.0356891,142.792
157999,38.072,75.4621,9.55687,37.1228,0.0299697,144.407
199000,47.5964,78.0649,9.84311,37.2434,0.0260854,151.747
251001,59.7858,80.0971,10.2819,37.3442,0.0243262,152.637
315999,75.4378,81.7205,10.8633,37.5987,0.0189705,162.181
397996,95.5281,82.9502,11.7244,37.912,0.0155055,168.78
500981,122.024,83.7913,13.197,38.5379,0.0142808,177.675
630013,157.601,84.4799,15.1604,39.6289,0.00978641,-166.406
793021,208.005,84.8127,18.8062,41.5744,0.00873702,-140.052
997980,284.713,84.8085,25.7623,45.219,0.0107267,-55.9399
1.26e+06,421.341,84.2643,42.1089,52.9546,0.0297802,-28.7808
1.57999e+06,725.489,82.314,97.03,72.4231,0.0893301,-22.0477
1.9901e+06,2335.16,72.3339,708.65,177.943,0.644041,-43.5637
2.51008e+06,1471.25,-78.007,305.714,nan,0.273122,-169.881
3.16108e+06,538.899,-84.5774,50.9265,nan,0.171626,-170.283
3.97012e+06,288.419,-85.6623,21.8145,nan,0.153843,-167.926
5.00013e+06,157.666,-84.271,15.7387,nan,0.172029,-167.438
