f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.06322,1.92261,7.05925,188.573,0.02295,-49.1269
251.999,7.15916,2.31255,7.15333,182.446,0.029408,-47.7757
317.004,7.18488,2.85743,7.17594,179.824,0.0320091,-58.046
399.003,7.20408,3.50398,7.19061,175.627,0.0348006,-69.0552
502,7.27302,4.30682,7.25249,173.163,0.0380045,-81.7885
632.006,7.33071,5.24135,7.30006,168.64,0.044542,-87.4928
795.996,7.42049,6.27131,7.37609,162.073,0.0519636,-106.167
1000,7.5441,7.30816,7.48282,152.734,0.0584103,-106.443
1260,7.67501,8.35292,7.59359,140.833,0.0665929,-119.007
1590,7.89703,9.21216,7.79517,126.547,0.0749431,-129.595
1999.99,8.1155,9.85856,7.99566,110.574,0.0819968,-138.198
2520,8.33518,10.3636,8.1992,94.7001,0.0892135,-146.729
3169.96,8.55862,10.7333,8.40888,80.0271,0.0956631,-154.493
3979.99,8.7713,11.199,8.60428,68.1226,0.0917206,-157.933
5019.98,8.86908,11.9709,8.67621,58.3226,0.102226,-165.787
6309.99,9.02104,13.0879,8.78671,51.5243,0.097584,-169.473
7950,9.16671,14.7541,8.86446,46.7355,0.101239,-174.829
9999.98,9.31367,17.0689,8.90343,43.5092,0.104077,-179.389
12599.7,9.50278,20.1537,8.92094,41.3572,0.10567,175.947
15900,9.79283,24.0324,8.94394,39.9204,0.104595,170.474
20000,10.2184,28.6601,8.96646,39.0001,0.101692,166.141
25099.9,10.8313,33.9516,8.98468,38.3572,0.0946485,160.257
31600.2,11.7531,39.9831,9.00562,38.0363,0.0900746,155.174
39799.6,13.0518,46.3758,9.00477,37.7814,0.0818674,150.352
50100.4,14.8879,52.6684,9.02846,37.606,0.0737795,144.571
63098.8,17.4143,58.7153,9.04308,37.5376,0.0656387,140.472
79399.9,20.128,64.0768,8.79926,36.2864,0.0425183,104.894
99899.6,24.4922,68.9316,8.80452,36.4113,0.0317435,100.109
126000,30.2801,72.9138,8.89662,36.5598,0.0223097,94.9016
158001,37.4597,76.1244,8.98339,36.6322,0.0193153,95.5026
198999,46.9146,78.5755,9.29268,36.7778,0.0151767,98.7283
251001,58.9154,80.6617,9.55981,36.8621,0.0100105,88.861
316001,74.3138,82.1421,10.1599,37.0769,0.00759632,79.8378
398007,94.1809,83.221,11.117,37.3978,0.00512491,63.5506
501006,120.066,84.0579,12.4296,37.9364,0.00493431,15.5945
630003,154.967,84.5506,14.7166,38.9716,0.00998347,-6.98911
793005,204.094,84.9661,17.9081,40.8033,0.0167281,-22.912
997981,278.774,84.947,24.5538,44.2852,0.0276299,-20.9559
1.2599e+06,412.297,84.4287,40.0273,51.8366,0.051582,-21.2128
1.57992e+06,709.361,82.4876,92.7421,70.8447,0.113374,-19.9849
1.98999e+06,2293.21,72.6458,684.013,175.057,0.65728,-44.0902
2.50995e+06,1433.84,-77.6486,306.708,nan,0.256896,-167.692
3.15988e+06,523.665,-84.4126,50.9863,nan,0.150877,-165.582
3.97009e+06,279.613,-84.9803,24.4657,nan,0.134309,-161.084
5.00034e+06,152.916,-83.475,17.3769,nan,0.151733,-160.662
