f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.03859,1.94776,7.03452,190.372,0.0461955,-23.4327
251.999,7.06039,2.39876,7.0542,186.633,0.0454845,-30.5349
317.003,7.08353,2.90985,7.07439,180.538,0.0440287,-40.2916
399,7.11956,3.58767,7.1056,177.708,0.0475811,-47.6323
502,7.15458,4.38389,7.13365,173.386,0.0548845,-51.3886
631.997,7.2448,5.28712,7.21398,168.117,0.0553588,-64.2398
795.992,7.29892,6.3598,7.254,161.658,0.059889,-72.8131
1000,7.47534,7.39618,7.41314,153.154,0.0631377,-90.4428
1260,7.61416,8.43708,7.53176,141.114,0.0685864,-104.526
1590,7.83874,9.30514,7.73559,126.87,0.0741301,-116.114
1999.99,8.06459,9.90916,7.94428,110.439,0.0764925,-124.385
2520,8.27812,10.3762,8.14274,94.1653,0.0793126,-132.753
3169.96,8.48983,10.7303,8.34138,79.362,0.0822772,-142.805
3979.98,8.68171,11.1447,8.51799,67.1037,0.0886946,-153.43
5019.98,8.9414,11.7161,8.75511,57.5645,0.0965395,-162.844
6309.97,9.02088,12.925,8.79232,50.8933,0.0965049,-166.905
7950.01,9.11972,14.6152,8.82462,46.0678,0.094824,-172.517
9999.99,9.28672,16.8346,8.88874,42.8051,0.09707,-177.966
12599.8,9.53217,19.7819,8.96966,40.7504,0.0988378,176.744
15900,9.8309,23.6065,9.00822,39.4064,0.0982221,172.133
20000,10.2421,28.2258,9.02421,38.5471,0.0941384,167.097
25099.9,10.847,33.5503,9.03988,38.0121,0.0897321,161.903
31599.8,11.7186,39.5895,9.03072,37.6135,0.0843607,156.961
39799.9,12.9772,46.0872,9.00052,37.3845,0.0747489,152.089
50100.4,14.824,52.3271,9.05974,37.2738,0.0705775,146.681
63100,17.327,58.3603,9.08933,37.2074,0.0626708,142.697
79399.7,20.6605,63.7947,9.12342,37.1569,0.0548984,139.561
99900.1,25.0929,68.3622,9.25272,37.1595,0.0475884,138.117
126001,30.8564,72.4267,9.31635,37.1567,0.03858,139.255
157999,38.0704,75.5928,9.47233,37.1429,0.0351689,139.046
198999,47.5874,78.1693,9.75643,37.2509,0.0297569,143.284
251001,59.7797,80.2343,10.1398,37.3559,0.0256575,147.677
315995,75.3248,81.8472,10.6821,37.5549,0.0209898,153.849
397983,95.4816,83.0854,11.495,37.9058,0.0178642,163.384
501006,121.7,83.8939,12.9453,38.4413,0.0147128,165.503
629997,157.787,84.3993,15.3993,39.6712,0.0103592,-177.149
793003,207.967,84.7428,19.0552,41.5632,0.00652883,-145.551
998012,284.59,84.7726,25.9289,45.1954,0.00845503,-61.1949
1.25992e+06,411.138,84.614,38.5917,51.7064,0.0546097,-23.0019
1.58e+06,704.546,82.5718,91.0867,70.374,0.120195,-19.2449
1.99003e+06,2276.31,72.7161,676.308,173.83,0.679515,-42.727
2.51014e+06,1428.05,-77.5537,307.78,nan,0.254947,-167.343
3.1599e+06,523.333,-84.4627,50.4983,nan,0.150302,-165.985
3.96995e+06,287.961,-85.9229,20.4739,nan,0.152477,-168.452
5.00004e+06,158.41,-84.4826,15.2309,nan,0.172561,-167.747
