f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.05172,1.93898,7.04768,189.868,0.0469627,-23.2051
251.999,7.07296,2.39395,7.06679,186.59,0.0458923,-30.326
317.002,7.0971,2.90219,7.088,180.408,0.0447754,-40.0562
399.002,7.12582,3.56149,7.11206,176.567,0.0479313,-47.6385
502,7.16244,4.36071,7.14171,172.66,0.0547292,-52.1578
631.993,7.25368,5.259,7.22315,167.431,0.0559295,-63.5462
796.006,7.30938,6.32661,7.26486,161.046,0.0606606,-73.1178
999.999,7.48094,7.34508,7.41955,152.216,0.063406,-90.5967
1260,7.61979,8.388,7.53828,140.403,0.0690848,-104.157
1590,7.84231,9.2493,7.74035,126.172,0.0746517,-116.684
1999.99,8.06586,9.84859,7.947,109.788,0.0774081,-124.871
2520,8.27814,10.3368,8.14378,93.8122,0.0796576,-132.952
3169.96,8.48975,10.6945,8.34229,79.0993,0.0822154,-142.974
3980,8.67816,11.1594,8.51407,67.1633,0.0883541,-152.691
5019.98,8.94191,11.7305,8.75516,57.6374,0.0970531,-162.309
6309.98,9.02072,12.9261,8.79213,50.8966,0.0964505,-167.122
7950.01,9.11382,14.6032,8.8194,46.0009,0.0957147,-172.513
10000,9.29089,16.8583,8.89161,42.883,0.0975979,-177.91
12599.8,9.54437,19.8111,8.97948,40.8602,0.0992431,177.462
15900,9.83025,23.5954,9.00839,39.3864,0.0982788,172.064
19999.9,10.2427,28.2056,9.02646,38.5243,0.0949434,167.042
25099.9,10.8403,33.5444,9.03496,37.9828,0.0905313,161.82
31599.9,11.7264,39.5169,9.04619,37.5808,0.0843904,156.037
39799.9,12.9912,46.0849,9.01061,37.4234,0.0757992,152.138
50099.9,14.8205,52.3656,9.04968,37.2845,0.0710259,146.333
63099.1,17.3241,58.3403,9.09296,37.1938,0.063431,141.448
79399.7,20.655,63.7557,9.13364,37.1347,0.056756,138.852
99899.3,25.0858,68.3984,9.23535,37.1586,0.0486026,138.475
126002,30.8745,72.3724,9.3497,37.1669,0.0397623,139.742
157998,38.0838,75.6467,9.44096,37.1652,0.0353422,139.019
199001,47.5994,78.202,9.73227,37.2644,0.0303145,144.391
251000,59.7962,80.2512,10.1252,37.3683,0.0255401,148.492
315998,75.3396,81.8515,10.6786,37.5623,0.0211858,156.308
397999,95.4444,83.0142,11.6083,37.8837,0.0184921,161.582
501000,121.677,83.96,12.8032,38.4391,0.0149507,167.069
630010,157.849,84.4575,15.2457,39.6898,0.0103126,-171.057
792988,208.104,84.7495,19.0437,41.5919,0.00709516,-147.73
998036,284.64,84.7638,25.9765,45.2016,0.00869222,-63.8581
1.26017e+06,411.387,84.5415,39.1333,51.7211,0.0535105,-20.6991
1.57995e+06,707.4,82.576,91.4036,70.6619,0.116231,-19.8479
1.99004e+06,2277.76,72.592,681.448,173.823,0.685039,-42.5459
2.50998e+06,1425.44,-77.6488,304.907,nan,0.254201,-167.283
3.15977e+06,521.805,-84.5001,50.0117,nan,0.148906,-165.974
3.96998e+06,288.273,-85.8238,20.9931,nan,0.152882,-167.894
4.99981e+06,158.363,-84.4995,15.1798,nan,0.171584,-167.863
