f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.04371,1.94084,7.03967,189.834,0.0460394,-23.7626
251.999,7.06248,2.39678,7.0563,186.533,0.0451236,-30.851
317.003,7.08764,2.91535,7.07847,180.984,0.0443867,-39.329
399.002,7.12058,3.56964,7.10676,176.84,0.0476233,-47.4253
502,7.15529,4.37591,7.13443,173.088,0.0548379,-51.4239
631.997,7.24767,5.27348,7.21699,167.751,0.0550986,-64.239
796,7.30007,6.35951,7.25515,161.675,0.0597316,-72.7742
1000,7.4719,7.37817,7.41003,152.713,0.0630804,-90.7182
1260,7.61314,8.42165,7.53105,140.839,0.0684605,-104.466
1590,7.83834,9.28514,7.73564,126.593,0.0738246,-116.629
2000,8.0614,9.87597,7.94194,110.029,0.0763667,-124.45
2519.99,8.27309,10.3643,8.1381,94.0011,0.0793714,-132.746
3169.95,8.48991,10.707,8.3421,79.1925,0.0820083,-142.553
3979.99,8.67755,11.1559,8.51358,67.1383,0.0876889,-152.907
5019.99,8.93609,11.7259,8.7496,57.5775,0.0956901,-162.55
6309.95,9.01845,12.9299,8.78979,50.8985,0.0956759,-167.364
7950.02,9.10591,14.6331,8.81054,46.0529,0.0944444,-172.352
9999.99,9.27866,16.8577,8.87994,42.825,0.0958705,-177.663
12599.7,9.53493,19.802,8.97112,40.802,0.0986748,177.672
15900,9.81968,23.5557,9.00143,39.2816,0.0977363,172.134
19999.9,10.2446,28.2213,9.0268,38.5512,0.0943865,166.762
25100,10.8395,33.5397,9.03476,37.9752,0.0901861,161.697
31599.7,11.7157,39.5606,9.0322,37.5812,0.0844469,157.081
39799.6,12.9876,46.0462,9.01437,37.3887,0.0746925,151.301
50100.1,14.8293,52.3429,9.05976,37.2953,0.0705288,146.92
63098.5,17.3099,58.3409,9.08535,37.1639,0.0646922,142.054
79399.3,20.6463,63.7829,9.12101,37.1279,0.0556978,138.405
99900,25.083,68.4049,9.23168,37.1559,0.0477119,139.299
126001,30.8653,72.401,9.33221,37.162,0.0396679,139.176
158001,38.0705,75.6218,9.45373,37.1474,0.0349221,139.104
199000,47.5847,78.149,9.77232,37.2458,0.030642,143.263
250999,59.7408,80.2291,10.1386,37.3313,0.0258299,148.166
315991,75.2704,81.8496,10.6712,37.5285,0.0208163,154.164
398003,95.4971,83.0259,11.5952,37.9052,0.0179984,161.114
500994,121.67,83.8821,12.967,38.4318,0.0151487,167.469
630009,157.878,84.4239,15.3406,39.695,0.0108545,-176.178
792965,207.972,84.7571,19.0041,41.5672,0.0069312,-141.244
997995,284.302,84.7209,26.1578,45.1466,0.00884385,-59.6287
1.25998e+06,408.909,84.5027,39.1731,51.4141,0.0563654,-20.1643
1.58003e+06,705.188,82.5158,91.853,70.4277,0.118482,-18.4786
1.99001e+06,2277.32,72.6661,678.504,173.862,0.68146,-42.4829
2.51012e+06,1428.66,-77.5927,306.962,nan,0.255972,-167.472
3.16017e+06,520.573,-84.4351,50.4816,nan,0.146713,-165.368
3.97005e+06,278.729,-85.2026,23.3109,nan,0.129954,-161.499
4.99998e+06,158.025,-84.3726,15.4958,nan,0.172104,-166.785
