f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.30982,1.88994,7.30585,191.842,0.0530584,-21.145
251.999,7.29704,2.27676,7.29128,183.083,0.0567237,-24.4064
317.003,7.31844,2.78558,7.30979,178.565,0.0575569,-29.4387
398.999,7.37597,3.45807,7.36254,177.466,0.0534068,-41.3407
502,7.41411,4.24126,7.39381,173.841,0.0545039,-49.4376
631.937,7.66978,5.34249,7.63646,179.854,0.0678681,-41.2997
795.931,7.56179,6.15786,7.51816,162.196,0.059971,-69.9968
1000,7.68149,7.18697,7.62114,152.95,0.0631283,-81.3909
1260.01,7.829,8.21639,7.74864,141.326,0.0670553,-95.0281
1589.99,8.04745,9.05213,7.94722,126.737,0.0692764,-106.545
2000,8.25888,9.66576,8.14164,110.347,0.0717942,-117.632
2520,8.48984,10.1197,8.35776,94.2118,0.075079,-131.562
3169.95,8.71728,10.439,8.573,79.3013,0.0788168,-142.303
3979.98,8.9088,10.8695,8.74897,67.1799,0.0808445,-151.082
5019.97,9.03908,11.5754,8.85524,57.504,0.081443,-157.959
6309.97,9.18849,12.6581,8.96517,50.7861,0.082667,-163.857
7949.98,9.29695,14.2995,9.00891,45.9699,0.0829225,-169.609
9999.95,9.43424,16.5407,9.04383,42.7476,0.0771354,-174.292
12599.7,9.63007,19.554,9.07466,40.7135,0.0834321,179.994
15900.1,9.90332,23.3608,9.09151,39.3067,0.0812715,174.254
19999.9,10.3047,27.9357,9.10392,38.4164,0.0780912,168.574
25100,10.8964,33.2156,9.11608,37.8481,0.0676711,165.374
31599.9,11.7838,39.1674,9.136,37.4846,0.0699437,157.094
39800,13.051,45.587,9.1334,37.2794,0.0669208,152.482
50100.1,14.8693,52.0204,9.15027,37.2327,0.0600117,148.272
63099.3,17.3247,58.0625,9.16462,37.0831,0.0444315,143.932
79400.5,20.6913,63.423,9.25731,37.0924,0.0456111,141.411
99899.7,25.0705,68.237,9.29533,37.0942,0.0399453,142.184
126001,30.8484,72.2144,9.42283,37.1032,0.0349221,143.08
158001,38.0585,75.4547,9.55824,37.1077,0.0295643,145.032
198997,47.5662,78.072,9.83112,37.2213,0.0249244,151.617
250999,59.7826,80.1094,10.2687,37.344,0.0231126,155.986
315989,75.4049,81.708,10.8747,37.5823,0.0189145,159.814
398004,95.511,82.9664,11.6954,37.9058,0.0156492,168.819
501009,121.992,83.8789,13.0081,38.5321,0.0144171,177.785
629999,157.463,84.418,15.3166,39.5909,0.0105194,-164.962
793013,208.015,84.7715,18.9561,41.5742,0.00775053,-145.088
998033,284.629,84.8643,25.4787,45.2072,0.00960985,-56.3325
1.2602e+06,420.764,84.2914,41.8531,52.8762,0.0296547,-29.139
1.58015e+06,726.225,82.4378,95.5724,72.5104,0.0880582,-21.0911
1.98989e+06,2337.02,72.6368,697.432,178.402,0.640391,-43.4904
2.51034e+06,1472.42,-77.9945,306.272,nan,0.273999,-169.996
3.15943e+06,539.052,-84.7027,49.7676,nan,0.17207,-170.257
3.97006e+06,289.081,-85.7038,21.6558,nan,0.153262,-168.203
4.99997e+06,158.146,-84.3894,15.4615,nan,0.172288,-167.708
