f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.29416,1.88919,7.2902,191.355,0.0584133,-19.0537
251.999,7.31367,2.3012,7.30777,185.469,0.0578798,-24.3734
317.003,7.33047,2.80385,7.3217,180.031,0.0574692,-29.571
399,7.34127,3.47421,7.32778,177.454,0.0565351,-37.3598
502,7.3627,4.2691,7.34227,173.766,0.0576561,-46.7066
631.981,7.45299,5.16566,7.42272,168.99,0.060785,-54.7195
795.994,7.53092,6.17835,7.48718,162.056,0.0607579,-68.9843
999.998,7.67305,7.20199,7.61251,153.1,0.0630509,-81.7648
1260,7.84804,8.20137,7.76777,141.413,0.0663776,-95.5304
1590,8.05529,9.05116,7.95498,126.846,0.0688458,-108.266
2000,8.27868,9.66978,8.16105,110.658,0.0733462,-121.332
2519.99,8.50587,10.1012,8.37402,94.2187,0.0752382,-130.97
3169.95,8.59491,10.5497,8.44962,79.0077,0.0714689,-134.83
3979.99,8.80824,11.0078,8.64618,67.2558,0.0766114,-148.417
5019.98,8.91374,11.7568,8.72674,57.5827,0.0709587,-151.607
6309.98,9.05023,12.8204,8.82461,50.6523,0.0740172,-160.652
7949.98,9.20602,14.4461,8.91495,45.9773,0.076973,-167.902
10000,9.35548,16.7191,8.95999,42.8347,0.0759271,-173.637
12599.8,9.5511,19.6917,8.99254,40.6524,0.0730061,-178.53
15900,9.81775,23.5378,9.00089,39.2456,0.0698369,175.424
19999.9,10.2249,28.1907,9.01202,38.4387,0.0675632,169.658
25099.9,10.8204,33.4973,9.02329,37.8662,0.0633791,164.524
31599.7,11.7193,39.4767,9.04592,37.5262,0.0603418,159.752
39800.2,13.0371,45.7919,9.09035,37.37,0.0589036,153.269
50100.1,14.8137,52.2043,9.07853,37.1862,0.0513038,149.212
63099.4,17.2943,58.2326,9.10496,37.0865,0.0458627,144.361
79399.4,20.6202,63.7344,9.12511,37.0654,0.0407502,142.18
99899.7,25.0134,68.4214,9.19938,37.0571,0.0341656,141.868
125999,30.822,72.2476,9.39776,37.0788,0.0315935,142.635
157998,38.0832,75.4804,9.54785,37.1369,0.0277361,145.203
199002,47.5159,78.096,9.8012,37.1844,0.0241899,149.414
251000,59.6387,80.2209,10.1296,37.2665,0.0193384,154.138
315994,75.1528,81.7868,10.7361,37.4636,0.01651,160.287
398001,95.2694,83.0084,11.5965,37.8136,0.0138101,164.684
501004,121.747,83.8756,12.9888,38.4548,0.0103505,-179.917
630035,157.12,84.4393,15.2249,39.5037,0.00893831,-172.366
792989,207.48,84.7595,18.9503,41.4677,0.00513547,-124.203
997990,284.983,84.76,26.0269,45.2579,0.00932931,-61.9912
1.26002e+06,420.88,84.2382,42.2534,52.8934,0.0288105,-31.5552
1.58002e+06,724.757,82.2842,97.3052,72.3434,0.0898305,-20.7427
1.98994e+06,2344.31,72.3588,710.453,178.68,0.640466,-43.4011
2.51001e+06,1466.85,-78.0827,302.906,nan,0.273039,-169.925
3.15988e+06,538.525,-84.9723,47.1949,nan,0.17013,-171.333
3.96999e+06,289.027,-85.7598,21.3703,nan,0.154578,-169.279
5.00012e+06,157.769,-84.5494,14.9862,nan,0.168939,-168.644
