f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.05335,1.95439,7.04924,191.421,0.0479062,-22.4272
252,7.07528,2.42358,7.06895,188.96,0.0464586,-29.2707
317.003,7.09743,2.9327,7.08814,182.311,0.0444339,-38.0242
399.002,7.12908,3.62144,7.11484,179.617,0.0462345,-47.6364
502,7.16399,4.43571,7.14253,175.662,0.0528772,-51.6573
631.994,7.25275,5.36175,7.22102,170.671,0.0535573,-62.1355
796.014,7.3162,6.44447,7.26997,164.185,0.0572177,-72.593
1000,7.49058,7.46802,7.42704,154.949,0.0598614,-89.6979
1260,7.6334,8.51006,7.54935,142.685,0.0638649,-103.708
1590,7.8554,9.39559,7.75002,128.364,0.0686539,-116.039
1999.99,8.08588,9.97764,7.96359,111.488,0.0707981,-123.354
2519.99,8.30096,10.4485,8.16332,95.0758,0.0734052,-131.772
3169.95,8.5191,10.7706,8.36902,79.9318,0.0751778,-141.93
3979.98,8.71405,11.2122,8.54773,67.7564,0.0807476,-151.619
5019.98,8.9736,11.7545,8.78542,57.9581,0.0894146,-161.745
6310,9.06444,12.9357,8.8344,51.1805,0.0887847,-165.996
7950.04,9.14886,14.623,8.85251,46.2389,0.0892388,-171.742
10000,9.31278,16.8521,8.91286,42.9686,0.090313,-176.244
12599.8,9.56049,19.7723,8.99685,40.8522,0.0922966,177.442
15900.1,9.86469,23.5785,9.04112,39.4975,0.0921463,173.294
19999.9,10.2768,28.185,9.05825,38.6266,0.0896515,167.232
25099.9,10.8769,33.5685,9.06291,38.1352,0.0849963,162.155
31599.7,11.7555,39.5516,9.06412,37.702,0.07895,155.794
39799.9,13.0097,46.0351,9.03154,37.4452,0.0689381,150.698
50099.9,14.8653,52.3278,9.08481,37.3782,0.0657801,145.966
63099.2,17.3744,58.3232,9.1238,37.2948,0.0602312,140.718
79400.2,20.7568,63.7343,9.18557,37.3104,0.0529871,139.121
99900.1,25.1466,68.384,9.2636,37.2446,0.04364,137.737
126001,30.9398,72.396,9.35734,37.2508,0.0361153,138.321
158000,38.1634,75.5962,9.4933,37.2339,0.0314145,139.11
198999,47.7108,78.1574,9.79141,37.3459,0.0273336,144.489
251000,59.9084,80.2236,10.1727,37.4353,0.0236248,148.657
315994,75.528,81.8172,10.7501,37.6535,0.0199337,156.4
397998,95.7093,82.9902,11.6803,37.987,0.0165686,164.046
500996,121.969,83.8816,12.9998,38.5259,0.0135992,172.152
629992,158.179,84.4081,15.4133,39.7705,0.0111039,-170.227
792974,208.453,84.7202,19.1817,41.6603,0.00635604,-145.476
997997,284.908,84.735,26.144,45.2438,0.0095518,-54.2995
1.25998e+06,411.221,84.3178,40.7155,51.6882,0.056847,-19.5603
1.58001e+06,706.727,82.5885,91.1636,70.5941,0.119353,-18.3883
1.98978e+06,2273.47,72.7904,672.648,173.704,0.692652,-42.852
2.51005e+06,1443.29,-77.4713,313.09,nan,0.259993,-167.708
3.15971e+06,523.914,-84.4784,50.4111,nan,0.149525,-166.204
3.96995e+06,289.274,-85.8397,20.986,nan,0.153699,-168.713
5.0001e+06,158.618,-84.4883,15.235,nan,0.172709,-168.467
