f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.29194,1.88231,7.288,190.6,0.0579904,-19.4036
251.999,7.31072,2.29854,7.30484,185.18,0.0574454,-24.4963
317.003,7.33311,2.81411,7.32427,180.755,0.0570985,-30.3221
399,7.34036,3.46626,7.32694,177.026,0.0561618,-38.2573
502,7.36292,4.26405,7.34254,173.566,0.0580186,-47
632.022,7.45747,5.13988,7.42749,168.239,0.0611387,-54.186
795.996,7.52608,6.18231,7.48231,162.055,0.0603005,-69.7838
999.999,7.67054,7.20891,7.6099,153.196,0.0637242,-81.811
1260.01,7.84614,8.20195,7.76588,141.388,0.0671133,-96.1061
1590,8.04847,9.01713,7.949,126.266,0.0710308,-108.8
2000,8.27232,9.65292,8.1552,110.382,0.074123,-121.627
2520,8.50072,10.0965,8.36907,94.1184,0.0759859,-130.904
3169.96,8.59314,10.5763,8.44715,79.1883,0.072891,-134.254
3979.99,8.79765,10.9651,8.63703,66.9174,0.0780744,-148.607
5019.98,8.91161,11.733,8.72541,57.4543,0.0724828,-151.843
6309.97,9.04591,12.8347,8.8199,50.6838,0.07589,-160.045
7950.01,9.19849,14.4353,8.90809,45.9058,0.0780442,-167.409
10000,9.34631,16.7378,8.95033,42.8393,0.0769773,-171.824
12599.8,9.54208,19.7389,8.9814,40.7076,0.0748532,-177.167
15900.1,9.81457,23.5536,8.99688,39.2576,0.0715802,177.7
20000,10.2112,28.2171,8.99772,38.42,0.0693014,172.426
25099.9,10.8193,33.4862,9.02348,37.851,0.0679617,165.605
31600.1,11.7215,39.4005,9.05754,37.4722,0.0645247,160.334
39799.8,13.0227,45.7761,9.0829,37.3191,0.0611665,155.064
50100.1,14.8071,52.2074,9.07385,37.1712,0.0557614,149.29
63098.9,17.2882,58.303,9.08368,37.1017,0.0497162,146.293
79400,20.6133,63.7407,9.12002,37.0546,0.0431469,142.876
99899.3,25.0057,68.4318,9.19231,37.0485,0.0372928,142.73
125999,30.8468,72.3199,9.36826,37.1236,0.033704,143.499
157999,38.0744,75.4982,9.53426,37.131,0.029188,144.738
198998,47.5444,78.0862,9.81504,37.2061,0.0264907,147.771
250999,59.6677,80.2339,10.1212,37.2862,0.0207688,152.947
315991,75.1806,81.7957,10.7285,37.4787,0.0179681,157.392
397999,95.2342,83.0173,11.5775,37.8005,0.0154682,164.793
501002,121.84,83.8562,13.0397,38.4831,0.012177,-179.473
629975,157.063,84.4168,15.2808,39.4917,0.0102882,-171.386
792993,207.483,84.7492,18.9879,41.4674,0.00648324,-125.151
998020,284.681,84.7414,26.0914,45.2072,0.00918727,-67.3656
1.26016e+06,421.485,84.2374,42.3203,52.9633,0.028084,-30.0507
1.58007e+06,724.326,82.318,96.8239,72.304,0.0885353,-20.5003
1.98998e+06,2345.68,72.4536,707.169,178.875,0.638233,-43.7279
2.50974e+06,1468.83,-78.1631,301.296,nan,0.274388,-169.987
3.16013e+06,537.729,-85.0342,46.5462,nan,0.170958,-171.288
3.97002e+06,288.149,-85.8746,20.7293,nan,0.151843,-168.888
5.00057e+06,157.832,-84.4622,15.2311,nan,0.170302,-168.226
