f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.28667,1.89655,7.28268,191.902,0.056355,-19.4918
251.999,7.33077,2.30611,7.32483,186.299,0.0533474,-25.6936
317.004,7.32194,2.80114,7.31319,179.647,0.0575079,-30.5331
399.001,7.34791,3.44911,7.3346,176.333,0.0570187,-37.0191
502.001,7.41395,4.21701,7.39388,172.844,0.0539516,-49.7069
632.019,7.49779,5.25676,7.46625,172.985,0.0567588,-57.0658
795.93,7.56241,6.15089,7.51887,162.027,0.0601713,-71.0159
999.998,7.68346,7.17484,7.6233,152.733,0.0624419,-80.8245
1260.01,7.8324,8.2222,7.75189,141.487,0.0654251,-95.1633
1590.01,8.04147,9.06502,7.94104,126.821,0.0706124,-105.625
2000,8.26204,9.67368,8.14456,110.48,0.0720071,-118.315
2519.99,8.49361,10.1069,8.3618,94.1359,0.0751015,-131.29
3169.93,8.70838,10.4104,8.56503,79.0059,0.0773108,-144.008
3979.98,8.90443,10.9127,8.74341,67.41,0.0798204,-151.314
5019.98,9.04474,11.6128,8.85959,57.7233,0.0791702,-159.1
6309.95,9.18088,12.6318,8.95867,50.6403,0.0815873,-163.641
7949.98,9.28501,14.3157,8.99669,45.9621,0.0807429,-170.632
10000,9.42418,16.537,9.03436,42.6925,0.0739565,-173.46
12599.9,9.61824,19.5428,9.06415,40.6405,0.0780027,178.183
15900.1,9.9019,23.4012,9.08744,39.3652,0.0705942,175.371
19999.8,10.3099,27.9235,9.10958,38.4208,0.0777073,168.425
25099.9,10.9067,33.2346,9.12272,37.9032,0.0724302,163.545
31599.6,11.7824,39.246,9.12474,37.5438,0.0670375,157.575
39800.1,13.0626,45.5894,9.14112,37.314,0.0638655,153.231
50100,14.8814,52.0115,9.15957,37.2586,0.0522488,147.999
63097.5,17.3518,58.0578,9.18018,37.1403,0.0501015,145.704
79399.5,20.6689,63.4711,9.23177,37.0683,0.0431789,142.118
99899.6,25.0856,68.2327,9.3027,37.1156,0.0393843,142.492
126001,30.8428,72.1711,9.44331,37.0875,0.0295174,144.394
158000,38.0824,75.4563,9.5632,37.1316,0.0282763,143.613
198997,47.5768,78.0473,9.85337,37.2263,0.0255507,149.342
250999,59.8173,80.1189,10.2649,37.3667,0.021321,155.602
316001,75.3885,81.7042,10.8774,37.5723,0.017247,160.7
398002,95.5878,82.9952,11.6572,37.9388,0.015746,176.399
501005,122.094,83.8582,13.0628,38.5631,0.0135866,176.261
630021,157.775,84.4962,15.1324,39.6732,0.0116362,-164.195
793012,208.15,84.7937,18.888,41.6027,0.00729789,-140.808
998020,284.964,84.7733,25.9591,45.2545,0.0102591,-58.5758
1.26003e+06,419.773,84.314,41.5895,52.7608,0.0296123,-32.4461
1.57994e+06,726.061,82.326,96.9555,72.4848,0.089978,-21.2301
1.99013e+06,2328.03,72.447,702.105,177.509,0.641798,-43.4467
2.51038e+06,1469.19,-78.1611,301.421,nan,0.274389,-169.912
3.16029e+06,539.23,-84.8351,48.5427,nan,0.171601,-171.015
3.97045e+06,289.19,-85.6473,21.9483,nan,0.153883,-168.84
5.00048e+06,158.355,-84.3306,15.6435,nan,0.171978,-168.549
