f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.29947,1.87752,7.29555,190.312,0.0582474,-19.3821
251.999,7.31878,2.29627,7.3129,185.201,0.0574622,-24.4643
317.003,7.33624,2.79321,7.32752,179.49,0.0574083,-30.3101
399.001,7.34843,3.46273,7.33501,177.04,0.0568366,-37.9414
502,7.36788,4.24578,7.34766,172.941,0.0581391,-47.0198
632.023,7.4647,5.12017,7.43491,167.758,0.0610695,-55.2364
796.127,6.57674,6.47114,6.53483,148.178,0.115688,-150.447
999.998,7.67526,7.17293,7.6152,152.529,0.0637208,-81.9864
1260,7.84973,8.16222,7.77021,140.773,0.0668887,-95.8601
1590,8.05406,9.01917,7.95448,126.382,0.0704078,-108.63
1999.99,8.27863,9.64175,8.16169,110.34,0.0746022,-121.109
2520,8.50641,10.0618,8.37558,93.8613,0.0757044,-130.623
3169.95,8.59289,10.5397,8.44791,78.9149,0.0729933,-135.328
3979.98,8.8037,10.9736,8.64273,67.0151,0.078384,-148.181
5019.99,8.91219,11.7344,8.72593,57.4646,0.0726165,-151.675
6309.99,9.05264,12.8137,8.8272,50.6399,0.0755936,-160.441
7950,9.20046,14.4554,8.90919,45.9783,0.0784814,-167.102
10000,9.34483,16.7199,8.94975,42.7879,0.0776749,-173.125
12599.8,9.54862,19.6735,8.99123,40.6059,0.0761021,-176.96
15900,9.81354,23.5857,8.99374,39.3043,0.0715787,177.042
19999.9,10.2171,28.2243,9.00234,38.4514,0.070661,171.559
25099.9,10.8157,33.502,9.01887,37.8543,0.0672262,166.403
31600,11.7275,39.4622,9.05411,37.5405,0.0662764,159.552
39799.9,13.0307,45.7362,9.09492,37.3164,0.0615451,154.607
50099.9,14.8015,52.2234,9.06717,37.1654,0.0540069,150.202
63099,17.2859,58.2703,9.09087,37.0837,0.0496116,145.926
79399.6,20.6083,63.7026,9.1301,37.0337,0.04319,142.196
99899.3,25.0015,68.3916,9.20709,37.032,0.0374472,142.134
126003,30.82,72.278,9.38157,37.0816,0.0336048,141.796
158001,38.0747,75.4603,9.55869,37.1246,0.0297943,145.123
199000,47.5018,78.08,9.81128,37.1715,0.0257872,147.832
250999,59.6285,80.226,10.1227,37.2608,0.0204261,151.911
315998,75.1591,81.8079,10.7095,37.4682,0.0184154,159.987
398008,95.2343,83.0477,11.5274,37.8022,0.0149546,164.974
501011,121.804,83.8695,13.0079,38.4719,0.0117362,173.917
629997,157.29,84.4606,15.1833,39.5503,0.00883843,-174.56
792999,207.484,84.7477,18.9936,41.4672,0.00622225,-123.636
997994,284.545,84.78,25.8878,45.1895,0.00894547,-68.0145
1.25986e+06,420.778,84.2318,42.2902,52.8868,0.029101,-33.1932
1.57989e+06,724.497,82.3875,95.9764,72.3411,0.0904271,-21.2978
1.99004e+06,2351.95,72.3169,714.411,179.211,0.64,-43.5246
2.50989e+06,1466.51,-77.9476,306.217,nan,0.273437,-169.923
3.15972e+06,537.715,-84.9104,47.7027,nan,0.169961,-170.779
3.9701e+06,288.561,-85.7866,21.2007,nan,0.15373,-168.557
5.0005e+06,157.044,-84.5398,14.9434,nan,0.170059,-168.329
