f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.06102,1.93456,7.05699,189.685,0.0229263,-47.3776
251.999,7.15235,2.32183,7.14648,183.003,0.0288996,-44.9872
317.003,7.17998,2.88189,7.1709,181.239,0.0307485,-54.5998
399.003,7.19969,3.51769,7.18613,176.206,0.0343256,-66.0951
502,7.26865,4.32195,7.24798,173.666,0.0374988,-77.8991
632.008,7.32698,5.26404,7.29608,169.281,0.0436722,-83.7456
796.008,7.41528,6.2818,7.37076,162.226,0.0506357,-104.089
1000,7.54155,7.31729,7.48013,152.872,0.0574294,-105.173
1260,7.67352,8.38043,7.59159,141.266,0.0653146,-116.487
1590,7.89768,9.2095,7.79587,126.521,0.0738471,-128.28
2000,8.11306,9.85464,7.99336,110.497,0.0803115,-137.079
2520,8.33366,10.3518,8.19801,94.5768,0.0880763,-145.909
3169.96,8.55916,10.7235,8.40969,79.9597,0.0952534,-154.264
3979.98,8.77614,11.1372,8.61087,67.7886,0.0915124,-157.667
5019.98,8.86452,11.9058,8.67383,57.9803,0.101062,-166.006
6309.97,9.01612,13.0191,8.78436,51.2302,0.0967798,-169.378
7950.03,9.16477,14.6871,8.86531,46.518,0.0997769,-174.555
10000,9.30319,16.9798,8.89764,43.24,0.10347,179.991
12599.8,9.48701,20.0624,8.91134,41.1089,0.104209,174.997
15900,9.76899,23.9932,8.92489,39.7622,0.103384,170.004
20000,10.1865,28.6157,8.94228,38.8232,0.0971039,164.997
25099.9,10.7968,34.0112,8.94976,38.294,0.0928626,159.362
31599.9,11.7134,40.0639,8.96455,37.9717,0.0867549,153.894
39800,13.0199,46.4614,8.96867,37.7424,0.0791789,148.656
50099.9,14.8633,52.8058,8.98511,37.6125,0.0704967,142.759
63098.3,17.3984,58.8266,9.00592,37.5479,0.0616576,138.082
79399.1,20.1098,64.4032,8.68816,36.3539,0.0358424,101.61
99900,24.5415,68.9408,8.81857,36.4867,0.0312978,97.2434
126002,30.325,72.9336,8.89981,36.6173,0.0216614,93.2361
157999,37.5469,76.0766,9.03468,36.7104,0.018586,94.0099
199001,46.9634,78.5831,9.29624,36.8167,0.0139699,92.0094
250998,58.9985,80.6093,9.62652,36.909,0.00964431,80.7869
315991,74.4015,82.0918,10.2367,37.1174,0.00759607,74.3889
397997,94.3116,83.2288,11.1198,37.4512,0.00498018,55.7412
500992,120.255,84.0478,12.4704,37.9967,0.00566083,16.1887
630003,155.121,84.5858,14.6364,39.0126,0.0103618,-10.67
792979,204.213,84.9089,18.1218,40.825,0.0167559,-18.6761
997962,278.845,84.9662,24.467,44.2987,0.0291014,-22.1386
1.25993e+06,413.408,84.3863,40.4399,51.9716,0.0525093,-21.145
1.57989e+06,710.607,82.5743,91.8386,70.9848,0.11671,-19.8751
1.98999e+06,2294.38,72.7274,681.241,175.224,0.674233,-44.5799
2.51e+06,1434.45,-77.6375,307.112,nan,0.259775,-167.729
3.15959e+06,523.834,-84.4391,50.7615,nan,0.152535,-166.494
3.97018e+06,279.586,-85.0161,24.2892,nan,0.136045,-161.656
4.99972e+06,152.611,-83.6237,16.9486,nan,0.154134,-160.681
