f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.2879,1.87914,7.28398,190.174,0.0586018,-18.9977
251.999,7.30639,2.298,7.30051,185.026,0.0573969,-24.2648
317.004,7.32077,2.82161,7.3119,180.93,0.0564941,-29.9619
399,7.33234,3.49856,7.31868,178.479,0.0559787,-38.1025
502,7.35809,4.27239,7.33764,173.791,0.0573817,-46.6713
631.989,7.45142,5.15829,7.42124,168.712,0.0605612,-54.5566
796.007,7.51923,6.17442,7.47562,161.7,0.0599829,-69.7095
999.999,7.66574,7.19337,7.60541,152.772,0.062802,-82.0778
1260,7.84196,8.22377,7.76133,141.687,0.0664926,-96.2232
1590,8.04794,9.06347,7.94746,126.902,0.0697998,-108.106
1999.99,8.26769,9.68052,8.14996,110.633,0.0739941,-121.279
2519.99,8.4322,10.1639,8.29987,93.9767,0.0722627,-125.516
3169.95,8.58956,10.5699,8.44381,79.1077,0.0723018,-134.215
3980.01,8.79836,10.9843,8.63717,67.0385,0.0769194,-146.95
5019.98,8.90933,11.7359,8.72309,57.4532,0.0713033,-151.555
6309.95,9.0486,12.8162,8.82317,50.6271,0.074453,-160.243
7949.99,9.19594,14.4381,8.90551,45.902,0.077305,-167.248
10000,9.34512,16.7045,8.95075,42.7508,0.077329,-172.552
12599.9,9.53448,19.7338,8.97453,40.6647,0.0749038,-177.361
15899.9,9.81284,23.5685,8.99427,39.2745,0.0712813,177.882
20000,10.2159,28.1894,9.00419,38.403,0.0691695,172.21
25099.9,10.8139,33.5134,9.01618,37.8594,0.0663217,166.629
31599.7,11.7121,39.4958,9.03793,37.5185,0.0651545,159.649
39800.1,13.0225,45.7461,9.08762,37.2991,0.0612612,155.307
50100.2,14.808,52.2064,9.07466,37.1731,0.0542917,150.226
63098.9,17.2871,58.2647,9.09294,37.0842,0.0493011,144.734
79398.8,20.6194,63.6722,9.14482,37.0443,0.0436861,142.475
99900.2,25.0037,68.3928,9.20738,37.0352,0.0373311,141.048
126000,30.83,72.2901,9.37843,37.0968,0.0331268,142.974
157999,38.0564,75.4694,9.54822,37.1085,0.029319,144.376
198997,47.4934,78.1149,9.78124,37.1701,0.0259133,148.05
251000,59.5849,80.2282,10.113,37.2337,0.0204081,152.551
315997,75.181,81.7819,10.7465,37.4767,0.0179369,158.783
397991,95.2563,83.0313,11.5572,37.8112,0.015272,164.196
500989,121.72,83.8388,13.0638,38.4448,0.011831,174.011
630006,157.07,84.4243,15.261,39.492,0.00979083,-170.819
793001,207.517,84.7743,18.9006,41.4754,0.00582497,-125.174
997985,284.729,84.8101,25.7556,45.2214,0.00864616,-75.6543
1.26008e+06,420.9,84.1934,42.5831,52.8892,0.0303162,-29.6915
1.58017e+06,723.86,82.2782,97.2597,72.2462,0.0894765,-20.9568
1.98991e+06,2340.62,72.3327,710.355,178.376,0.635977,-43.3285
2.50992e+06,1472.22,-78.0138,305.744,nan,0.27401,-170.125
3.15996e+06,538.513,-85.0606,46.3669,nan,0.170656,-171.699
3.97026e+06,288.462,-85.7956,21.1483,nan,0.153584,-168.727
5.00011e+06,157.713,-84.6366,14.7419,nan,0.167466,-168.407
