f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.043,1.93297,7.03899,189.046,0.0464687,-23.2513
251.999,7.06231,2.40127,7.05611,186.878,0.0452671,-30.4572
317.003,7.08882,2.89982,7.07974,180.05,0.0444152,-39.7225
399.002,7.11948,3.57329,7.10564,176.994,0.0475574,-47.8014
502,7.15774,4.38636,7.13677,173.56,0.0545929,-51.3913
632.012,7.25046,5.2756,7.21974,167.879,0.0554685,-63.9999
796.004,7.30178,6.3597,7.25684,161.717,0.0602658,-72.6195
999.999,7.47486,7.38627,7.41284,152.941,0.0629176,-89.9266
1260,7.61731,8.41057,7.53539,140.732,0.0681984,-104.325
1590,7.83732,9.29404,7.73444,126.697,0.073853,-116.661
2000,8.06582,9.88387,7.9461,110.176,0.0762465,-124.548
2519.99,8.27406,10.3756,8.13876,94.1136,0.078751,-132.654
3169.95,8.49096,10.7176,8.34284,79.2799,0.0813519,-142.382
3979.99,8.68332,11.1576,8.51919,67.1927,0.0875185,-153.479
5019.99,8.94082,11.7264,8.75422,57.6105,0.0954934,-162.872
6309.98,9.02423,12.9182,8.79583,50.8855,0.0959459,-167.252
7950.02,9.1159,14.6113,8.82109,46.0364,0.095104,-172.684
10000,9.28385,16.8469,8.88541,42.822,0.0954237,-178.092
12599.8,9.54345,19.8145,8.97843,40.863,0.0984239,177.184
15900,9.83044,23.5964,9.0085,39.3889,0.0964336,171.929
19999.9,10.2468,28.2386,9.02727,38.581,0.0936869,166.651
25100,10.8491,33.5934,9.03713,38.0626,0.0893921,161.24
31599.6,11.731,39.5525,9.04508,37.624,0.0836823,156.101
39799.8,12.9974,46.0858,9.01476,37.442,0.0736141,150.479
50100,14.8185,52.3507,9.05156,37.2721,0.0686019,145.224
63099.3,17.3307,58.3421,9.09599,37.2086,0.0622878,141.14
79399.4,20.667,63.8089,9.12171,37.1732,0.0544972,138.288
99901.4,25.0865,68.4116,9.23025,37.1623,0.0452807,137.31
126000,30.8692,72.4536,9.30636,37.1776,0.0377584,139.014
157999,38.1001,75.6256,9.45862,37.1774,0.0332274,138.801
198999,47.5942,78.2091,9.7254,37.2617,0.02803,144.015
250996,59.7806,80.2769,10.0961,37.3619,0.0245198,147.577
315999,75.3536,81.8483,10.6847,37.5688,0.0203187,154.197
397997,95.5143,83.0137,11.6176,37.9116,0.0174568,161.228
501001,121.792,83.9796,12.774,38.4769,0.0140559,169.236
630015,157.904,84.4252,15.3394,39.7011,0.00944646,-173.216
793006,208.014,84.7563,19.0108,41.5734,0.00707659,-140.75
997974,284.429,84.7413,26.0689,45.1693,0.00877936,-56.5521
1.26007e+06,410.53,84.4799,39.4908,51.6122,0.0543196,-20.6438
1.58006e+06,705.478,82.5024,92.0539,70.453,0.119334,-19.0404
1.99001e+06,2288.27,72.6976,680.563,174.727,0.676207,-42.7486
2.51003e+06,1433.78,-77.5202,309.834,nan,0.256675,-167.259
3.16015e+06,523.27,-84.402,51.0443,nan,0.150238,-165.978
3.96997e+06,288.019,-85.8571,20.8075,nan,0.15276,-168.306
5.00017e+06,157.92,-84.4935,15.1537,nan,0.168333,-167.981
