f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.0465,1.94137,7.04246,189.962,0.0470955,-22.741
251.999,7.06675,2.39738,7.06057,186.693,0.0453842,-30.4767
317.003,7.08741,2.91282,7.07825,180.82,0.0447277,-39.543
399,7.12132,3.58128,7.10741,177.435,0.0472172,-47.4137
502.001,7.15848,4.39479,7.13743,173.911,0.0548365,-51.8945
632.016,7.24971,5.29861,7.21873,168.591,0.0552054,-63.1497
795.999,7.303,6.36972,7.25792,161.999,0.0604914,-72.5434
1000,7.47909,7.39005,7.41696,153.105,0.0625518,-90.2171
1260.01,7.61679,8.44101,7.53428,141.228,0.068185,-104.12
1590,7.84189,9.30083,7.7388,126.863,0.0735239,-116.531
2000,8.06693,9.89056,7.94704,110.265,0.0764339,-124.813
2520,8.27894,10.3741,8.1436,94.1563,0.0784554,-132.821
3169.95,8.49709,10.7191,8.34883,79.348,0.0814825,-143.066
3979.98,8.68733,11.1739,8.52265,67.321,0.0880739,-153.419
5019.98,8.94279,11.7401,8.75571,57.6894,0.0960296,-162.759
6309.97,9.02994,12.8952,8.80221,50.8288,0.0958295,-167.619
7950.05,9.11966,14.62,8.82438,46.0819,0.0944275,-172.836
9999.99,9.29379,16.8708,8.8938,42.9272,0.0964503,-178.06
12599.8,9.53692,19.8144,8.97229,40.8349,0.0976233,176.981
15900,9.8357,23.6306,9.01097,39.4637,0.0964016,171.914
20000,10.2509,28.2156,9.03283,38.5675,0.0931261,165.898
25099.9,10.8588,33.5467,9.05011,38.0499,0.089061,161.214
31599.7,11.732,39.5713,9.0434,37.6421,0.0830886,154.875
39799.9,12.9965,46.018,9.02522,37.3966,0.0727963,150.149
50100.2,14.8333,52.2721,9.07667,37.2695,0.0675916,144.512
63098.4,17.3247,58.3252,9.09716,37.1893,0.0625274,140.564
79399.5,20.6737,63.7452,9.14528,37.1649,0.0540335,137.29
99900.1,25.0838,68.3964,9.23541,37.1549,0.0451992,137.412
126000,30.8505,72.3925,9.33212,37.1427,0.0365593,137.25
157999,38.0787,75.6021,9.46844,37.1524,0.0334601,139.36
199001,47.5976,78.177,9.75225,37.2596,0.0285948,144.044
251002,59.7809,80.26,10.1136,37.3594,0.0239363,148.083
316004,75.3067,81.8773,10.6404,37.5476,0.019975,155.052
398003,95.4804,83.0036,11.6302,37.8967,0.017193,159.984
501007,121.671,83.939,12.8468,38.4351,0.0142323,167.315
630005,157.854,84.3962,15.4143,39.6874,0.0100945,-172.311
793008,207.996,84.7298,19.105,41.5679,0.00632526,-145.262
998023,284.575,84.7373,26.102,45.1899,0.00903745,-57.7256
1.26009e+06,409.553,84.4507,39.6044,51.4859,0.0572302,-19.6999
1.57999e+06,706.222,82.497,92.2176,70.5299,0.118832,-18.3813
1.98992e+06,2280.97,72.6624,679.73,174.144,0.680709,-42.455
2.51007e+06,1430.17,-77.5913,307.321,nan,0.255236,-167.35
3.15989e+06,523.424,-84.2453,52.4839,nan,0.150517,-165.21
3.97028e+06,288.414,-85.8028,21.109,nan,0.151461,-168.505
4.9997e+06,158.139,-84.5201,15.1016,nan,0.169582,-168.156
