f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.05371,1.96132,7.04958,192.11,0.0217093,-51.9206
251.999,7.14608,2.3666,7.13999,186.366,0.0287027,-47.8836
317.003,7.18611,2.93208,7.1767,184.55,0.0313701,-55.6406
398.998,7.20481,3.58094,7.19074,179.499,0.0344439,-66.8411
502,7.2655,4.40225,7.24407,176.81,0.0379661,-79.9751
632.01,7.31519,5.34076,7.28343,171.464,0.0446681,-87.7938
796.005,7.42599,6.38308,7.37996,165.07,0.0516737,-103.049
1000,7.54704,7.43861,7.48353,155.505,0.0597899,-109.574
1260,7.70421,8.4635,7.62031,143.227,0.0681215,-118.246
1590,7.92058,9.32189,7.81598,128.423,0.0761889,-129.196
2000,8.13536,9.96211,8.01269,111.997,0.0823935,-137.289
2520,8.37803,10.4261,8.2397,95.7555,0.0922889,-146.811
3169.95,8.58372,10.8011,8.43165,80.7632,0.097939,-154.757
3979.98,8.80108,11.2016,8.63341,68.3694,0.0931036,-157.712
5019.97,8.91095,11.9416,8.71811,58.4569,0.105501,-166.098
6309.99,9.05663,13.0551,8.82255,51.6,0.0973981,-168.957
7950.04,9.19723,14.7005,8.89617,46.7241,0.104522,-175.192
9999.97,9.32952,17.0134,8.92123,43.4458,0.10725,-179.992
12599.9,9.51393,20.0444,8.93765,41.1897,0.106122,175.968
15900,9.80914,23.9409,8.9652,39.8438,0.101493,170.404
20000,10.2228,28.6106,8.97453,38.955,0.0983731,165.417
25099.9,10.8353,33.9249,8.99083,38.3449,0.0947792,159.44
31599.8,11.7569,39.9332,9.01512,38.0095,0.088777,154.779
39799.9,13.0584,46.4008,9.00523,37.8161,0.0794168,148.287
50100.4,14.9107,52.6612,9.04374,37.6597,0.0733057,142.786
63099.1,17.4577,58.7188,9.06473,37.6324,0.0644018,138.929
79400.7,20.1604,64.1313,8.79621,36.3613,0.0401565,99.8424
99900.6,24.5842,68.8999,8.85027,36.5399,0.0313823,99.0156
126001,30.3445,72.951,8.89668,36.6445,0.0212531,92.7439
157999,37.576,76.0748,9.04288,36.7386,0.0184781,91.8755
199000,47.0033,78.579,9.30739,36.8477,0.0141405,92.4628
250997,59.0172,80.6047,9.63426,36.9202,0.00995059,80.4946
316002,74.466,82.1246,10.2032,37.1512,0.00575553,72.5272
397998,94.3088,83.1985,11.169,37.4476,0.00545631,56.3484
501006,120.161,84.0466,12.4629,37.9657,0.00695768,16.994
629992,155.068,84.5695,14.6754,38.999,0.0111779,-11.2301
793019,204.167,84.9359,18.022,40.8154,0.0170081,-20.7124
998029,279.178,84.9536,24.557,44.3477,0.0291844,-21.5783
1.25993e+06,412.582,84.4216,40.1059,51.8707,0.0531161,-21.8434
1.57997e+06,709.053,82.5194,92.3116,70.8173,0.115691,-19.254
1.98999e+06,2282.42,72.679,679.532,174.265,0.671725,-44.2751
2.51005e+06,1439.17,-77.5325,310.698,nan,0.259234,-167.656
3.15979e+06,524.209,-84.4354,50.8311,nan,0.153209,-166.461
3.96973e+06,279.596,-85.0357,24.1951,nan,0.135177,-161.771
4.99972e+06,152.772,-83.5743,17.0973,nan,0.150019,-160.728
