f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.06816,1.93144,7.06415,189.571,0.0236194,-49.2183
251.999,7.15245,2.32304,7.14658,183.101,0.0296619,-48.8672
317.002,7.17743,2.85633,7.16852,179.57,0.0321848,-59.0779
398.998,7.20114,3.50064,7.18771,175.39,0.0355773,-70.8174
502,7.26894,4.3079,7.24841,173.11,0.040062,-82.0057
632.008,7.33423,5.25358,7.30342,169.113,0.0478745,-86.8907
795.995,7.41734,6.27503,7.3729,162.1,0.0558306,-104.861
1000,7.545,7.30465,7.48376,152.679,0.0632463,-106.149
1260,7.6645,8.36281,7.583,140.805,0.0726957,-117.775
1590,7.88896,9.21378,7.78718,126.44,0.0825601,-129.813
2000,8.11582,9.84623,7.99627,110.441,0.0897255,-137.962
2520,8.32421,10.3532,8.18868,94.4823,0.0963922,-145.78
3169.96,8.55203,10.7181,8.40284,79.8535,0.103566,-154.077
3979.98,8.76537,11.1678,8.59939,67.889,0.101716,-158.31
5019.99,8.85839,11.9508,8.66639,58.1557,0.111044,-165.988
6309.97,9.01487,13.0643,8.78154,51.398,0.108243,-169.889
7950.04,9.16273,14.764,8.86021,46.7454,0.109279,-174.94
9999.98,9.30654,17.0369,8.89814,43.3968,0.112967,179.954
12599.8,9.49991,20.1058,8.92099,41.2499,0.112508,175.785
15900,9.78708,24.0144,8.93994,39.869,0.112162,170.498
20000,10.2132,28.6554,8.96233,38.9744,0.110117,165.378
25099.9,10.825,34.0118,8.97304,38.3944,0.104732,159.97
31599.9,11.7324,40.0062,8.98671,37.9878,0.0978614,154.694
39800,13.0486,46.4107,8.99678,37.7937,0.0878165,149.607
50099.8,14.8825,52.7138,9.01575,37.6153,0.0779058,144.985
63099.1,17.4202,58.6944,9.05157,37.5418,0.0702689,140.083
79399.6,20.0031,64.2664,8.68511,36.1192,0.0399991,99.0424
99899.3,24.3457,69.1031,8.68382,36.2352,0.0297294,91.8367
126001,30.1091,73.0741,8.76577,36.3842,0.0223702,88.2915
158001,37.3344,76.2194,8.89322,36.5245,0.0191436,89.9705
199002,46.7363,78.7091,9.15055,36.6547,0.0138039,86.4979
250999,58.7331,80.6829,9.50883,36.7505,0.0106672,77.2255
315995,74.0996,82.1748,10.0888,36.9737,0.0079689,68.3893
398003,93.7963,83.2783,10.9785,37.2498,0.00694328,46.6976
500994,119.597,84.0989,12.296,37.7921,0.00812651,22.0518
629988,154.535,84.6076,14.5226,38.8677,0.0115503,-10.063
793010,203.484,84.9313,17.9777,40.679,0.0187752,-18.7819
997997,277.991,84.9641,24.4022,44.1614,0.0300532,-21.5036
1.26002e+06,411.627,84.464,39.7102,51.7507,0.0535224,-21.7761
1.58002e+06,707.152,82.4772,92.5812,70.6181,0.115539,-19.4773
1.99001e+06,2285.96,72.6995,679.805,174.553,0.661294,-44.0422
2.50993e+06,1426.82,-77.5915,306.595,nan,0.254871,-167.422
3.16014e+06,522.231,-84.52,49.8718,nan,0.14966,-166.069
3.96998e+06,278.38,-85.0047,24.2398,nan,0.132222,-161.266
4.99994e+06,152.099,-83.7304,16.6102,nan,0.148685,-160.686
