f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.05994,1.92223,7.05597,188.448,0.0475833,-23.0239
251.999,7.07873,2.37854,7.07263,185.541,0.0460645,-30.2806
317.003,7.10296,2.88205,7.09397,179.304,0.0453538,-39.5734
399.002,7.13068,3.55092,7.11699,176.164,0.047969,-47.7091
502,7.16982,4.34558,7.14921,172.24,0.0555753,-51.4926
632.006,7.26207,5.23699,7.23176,166.922,0.0561317,-63.8528
796.005,7.31224,6.30231,7.26805,160.493,0.0606334,-73.0268
1000,7.48461,7.3197,7.42362,151.767,0.0638398,-90.0587
1260,7.62253,8.37598,7.54123,140.253,0.0692519,-104.293
1590,7.84656,9.22255,7.74513,125.879,0.0745584,-116.667
1999.99,8.06972,9.83197,7.9512,109.656,0.0777336,-124.153
2519.99,8.28267,10.3213,8.14864,93.7242,0.0800133,-132.993
3169.96,8.49554,10.6799,8.34838,79.0469,0.0825639,-142.893
3979.98,8.68381,11.1169,8.52086,66.9551,0.0891102,-153.096
5019.98,8.93925,11.7269,8.75267,57.6026,0.0971736,-162.835
6309.95,9.01769,12.9427,8.78859,50.944,0.096555,-167.293
7950.01,9.11397,14.587,8.82019,45.9516,0.095849,-172.843
9999.96,9.28339,16.8176,8.88635,42.7479,0.0969293,-177.855
12599.9,9.53647,19.7883,8.97334,40.7811,0.0991109,177.082
15900,9.83089,23.5903,9.00932,39.3811,0.0978118,172.18
19999.9,10.246,28.2148,9.02856,38.5481,0.0938303,166.585
25099.9,10.8444,33.5238,9.04054,37.9766,0.0905236,161.492
31600.1,11.7226,39.5026,9.04507,37.5569,0.0845685,156.266
39799.9,12.9953,46.0427,9.02033,37.4085,0.0757485,151.006
50100,14.8245,52.2511,9.07558,37.237,0.0710896,146.308
63099.4,17.3251,58.306,9.10231,37.182,0.0640598,142.149
79400.2,20.671,63.7461,9.14378,37.16,0.0563914,139.273
99899.4,25.0898,68.3516,9.25586,37.1524,0.0480606,137.943
126001,30.8483,72.4136,9.32058,37.144,0.0390343,139.684
157999,38.0948,75.5747,9.49004,37.1636,0.035629,139.576
198998,47.5794,78.1652,9.75808,37.2443,0.0300877,143.846
251000,59.742,80.2305,10.1373,37.3321,0.0252365,147.361
315994,75.2917,81.8283,10.702,37.5368,0.0208374,154.516
397997,95.4463,83.0093,11.6165,37.8842,0.0182407,159.926
500999,121.725,83.9386,12.8534,38.4529,0.014953,166.555
629979,157.804,84.438,15.2947,39.6791,0.0108158,-175.811
792983,208.122,84.7256,19.1316,41.5941,0.0069675,-147.497
998001,284.456,84.696,26.2951,45.169,0.00857621,-59.9616
1.25992e+06,409.208,84.5376,38.9533,51.457,0.056992,-20.7569
1.58001e+06,705.518,82.4661,92.5022,70.4535,0.120163,-18.1943
1.98993e+06,2287.03,72.635,682.58,174.58,0.683288,-42.8886
2.51004e+06,1425.93,-77.6571,304.808,nan,0.254801,-167.213
3.1598e+06,521.019,-84.4598,50.3014,nan,0.147746,-165.961
3.97006e+06,287.68,-85.9655,20.2401,nan,0.152845,-168.206
4.99978e+06,157.765,-84.4694,15.2049,nan,0.169532,-167.241
