f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.32306,1.87948,7.31912,191.127,0.0526115,-20.1503
251.999,7.31049,2.29242,7.30464,184.681,0.0570483,-24.0943
317.001,7.35401,2.8542,7.34489,183.85,0.0543707,-32.5118
399,7.3508,3.46766,7.33734,177.35,0.0566737,-36.1573
502,7.42298,4.21118,7.40294,172.816,0.0534378,-49.615
632.056,7.49313,5.15335,7.46284,169.476,0.0575289,-58.0387
795.932,7.57232,6.13068,7.52901,161.707,0.0593554,-69.8301
1000,7.69176,7.12657,7.63234,151.874,0.0622278,-80.9094
1260,7.8383,8.19193,7.75832,141.077,0.06558,-94.0133
1590.01,8.0543,9.03046,7.95447,126.542,0.0680504,-105.757
1999.99,8.26721,9.67718,8.14957,110.589,0.0733527,-118.418
2519.99,8.49583,10.0817,8.36465,93.9275,0.0748847,-131.744
3169.98,8.69987,10.4051,8.5568,78.888,0.0779289,-142.769
3979.98,8.90581,10.8334,8.74709,66.9368,0.0798768,-150.396
5019.98,9.0497,11.5702,8.86581,57.5458,0.0783173,-158.463
6309.95,9.18262,12.6254,8.96058,50.6249,0.0818588,-163.6
7950.02,9.30185,14.2518,9.01557,45.8437,0.0831941,-169.792
10000,9.43477,16.5198,9.04531,42.6971,0.0821033,-176.114
12599.9,9.62516,19.5668,9.06933,40.7177,0.0809224,179.931
15900,9.90602,23.302,9.09802,39.2241,0.077732,173.331
20000,10.2971,27.9679,9.09453,38.429,0.0738675,168.702
25099.8,10.9063,33.2007,9.1259,37.8676,0.0752231,162.874
31599.8,11.7846,39.1832,9.13463,37.5002,0.0587164,160.993
39799.9,13.0514,45.6545,9.12272,37.3237,0.064652,152.786
50099.7,14.8598,51.9569,9.15742,37.177,0.0527461,147.425
63099.5,17.3429,58.0819,9.16931,37.13,0.0493495,145.015
79399.3,20.7073,63.4991,9.23985,37.1463,0.0439812,143.577
99900.9,25.0769,68.2154,9.30646,37.0976,0.036948,142.48
126001,30.8353,72.2284,9.41166,37.0901,0.0328399,143.195
158000,38.0644,75.4189,9.5827,37.1077,0.0282549,144.638
198998,47.5678,78.0437,9.8544,37.2185,0.0229157,147.709
251001,59.8223,80.1108,10.2741,37.3686,0.0207649,155.489
316001,75.3472,81.7254,10.8438,37.5538,0.0166368,166.835
397990,95.5214,82.9911,11.6559,37.9132,0.0155243,170.921
501006,122.045,83.8192,13.1402,38.5447,0.0141215,174.574
629954,157.475,84.3966,15.3761,39.5952,0.00979723,-164.654
792956,207.95,84.7809,18.9162,41.5649,0.00652601,-141.197
997999,284.898,84.7806,25.9173,45.2454,0.0107317,-56.2585
1.25998e+06,420.77,84.29,41.8638,52.8859,0.030802,-30.752
1.57992e+06,725.511,82.3448,96.6457,72.4337,0.0895341,-21.0817
1.98992e+06,2346.96,72.3791,710.468,178.904,0.639158,-43.3766
2.51005e+06,1472.66,-78.0731,304.345,nan,0.273087,-169.879
3.15993e+06,540.355,-84.8417,48.5822,nan,0.170993,-171.17
3.97019e+06,289.058,-85.5628,22.3635,nan,0.154137,-168.52
5.00002e+06,158.279,-84.2953,15.7333,nan,0.171349,-167.938
