f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.29789,1.88654,7.29393,191.184,0.0580858,-18.9609
251.999,7.31572,2.29993,7.30983,185.418,0.0572342,-24.1804
317.004,7.33563,2.81318,7.32679,180.756,0.0567468,-28.9751
399,7.34405,3.47426,7.33055,177.524,0.0552719,-38.0716
502,7.36566,4.25516,7.34535,173.27,0.0566107,-46.6934
631.983,7.45831,5.14741,7.42823,168.514,0.0588622,-53.9417
795.975,7.52901,6.16381,7.48548,161.639,0.0573918,-68.9729
999.999,7.67554,7.17817,7.61538,152.646,0.0591242,-81.0199
1260,7.8489,8.18741,7.7689,141.19,0.0619246,-95.4066
1590,8.05332,9.03961,7.9533,126.655,0.0644465,-108.015
1999.99,8.2788,9.65113,8.16163,110.448,0.0679735,-120.864
2520,8.43642,10.149,8.30441,93.8866,0.0654142,-124.02
3169.97,8.59778,10.5577,8.45223,79.0929,0.064725,-133.295
3979.99,8.81162,10.9804,8.6503,67.116,0.0688707,-145.877
5019.97,8.91499,11.7145,8.72931,57.3867,0.0637278,-149.834
6309.98,9.04856,12.8394,8.82232,50.7168,0.0662697,-158.393
7950.03,9.19911,14.4532,8.90798,45.9644,0.0694919,-165.852
10000,9.35101,16.6911,8.95703,42.7446,0.0700477,-171.359
12599.8,9.54085,19.7156,8.98156,40.6561,0.0662627,-176.472
15900,9.81991,23.5287,9.00348,39.2402,0.0641193,178.678
20000,10.2166,28.1929,9.00452,38.4101,0.0615449,173.379
25100,10.8199,33.4651,9.02619,37.832,0.0604273,167.333
31600.1,11.7153,39.42,9.05022,37.4678,0.0572896,161.21
39800,13.0211,45.7623,9.08399,37.3054,0.0560439,156.907
50099.9,14.8061,52.1976,9.07526,37.164,0.0498121,151.849
63099.1,17.2797,58.2737,9.08671,37.0717,0.0445047,146.873
79400.2,20.6117,63.7011,9.1321,37.0391,0.0403193,143.53
99899.5,25.0156,68.4034,9.20748,37.0559,0.0344881,142.962
126000,30.8357,72.2864,9.38205,37.103,0.0309448,144.987
157999,38.0612,75.5066,9.52553,37.1196,0.0273695,144.668
198998,47.5228,78.1044,9.79584,37.1916,0.0236688,149.545
251000,59.6222,80.2449,10.1022,37.2588,0.0186706,153.388
315996,75.1903,81.8045,10.7185,37.4837,0.0164037,161.85
397994,95.3083,82.9966,11.6208,37.8287,0.0142828,170.868
500992,121.774,83.8851,12.9717,38.4649,0.010653,-172.729
630000,157.317,84.4256,15.2816,39.5546,0.00833934,-168.333
792999,207.352,84.7692,18.904,41.4422,0.00536764,-108.553
998004,284.726,84.7724,25.942,45.2173,0.00950638,-61.868
1.26001e+06,421.36,84.2366,42.3135,52.9539,0.0293346,-31.6201
1.58009e+06,722.661,82.4417,95.0546,72.1576,0.0926183,-21.627
1.99008e+06,2312.17,72.9841,676.626,176.819,0.660394,-43.8748
2.50996e+06,1470.42,-77.9973,305.785,nan,0.272898,-169.959
3.16001e+06,538.481,-84.991,47.0158,nan,0.171459,-171.425
3.96995e+06,288.582,-85.7063,21.6061,nan,0.152086,-168.589
5.00005e+06,157.414,-84.4885,15.119,nan,0.168433,-168.43
