f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.05226,1.93334,7.04825,189.331,0.0470127,-23.0567
251.999,7.07004,2.39344,7.06388,186.473,0.0463134,-29.7502
317.002,7.09362,2.90769,7.08448,180.661,0.0445741,-39.1928
399.002,7.12578,3.56867,7.11196,176.922,0.0478262,-47.215
502,7.16222,4.37944,7.14131,173.395,0.0547429,-51.458
632.013,7.25512,5.27645,7.22437,168.013,0.0560361,-63.2295
795.987,7.30662,6.35146,7.26177,161.619,0.0604041,-72.1784
1000,7.48147,7.36935,7.41967,152.727,0.0628512,-89.6225
1260,7.62186,8.41847,7.53973,140.948,0.0684324,-103.577
1590,7.84276,9.29834,7.73971,126.843,0.0739286,-115.844
2000,8.07094,9.87967,7.95125,110.2,0.0761992,-124.387
2520,8.27867,10.3655,8.14356,94.0759,0.0784865,-132.712
3169.96,8.49359,10.7179,8.34542,79.3064,0.0813251,-142.746
3979.99,8.68844,11.1682,8.5239,67.2957,0.0878764,-153.047
5019.98,8.94169,11.7219,8.75521,57.594,0.0952061,-162.796
6309.96,9.02818,12.9162,8.79975,50.9003,0.0949294,-166.955
7950.02,9.12018,14.6052,8.82548,46.039,0.0942069,-172.788
9999.99,9.28776,16.8438,8.8893,42.8327,0.0956311,-178.016
12599.9,9.5379,19.7761,8.97538,40.7631,0.096448,176.656
15900,9.82887,23.6122,9.00598,39.4072,0.0960928,171.904
19999.9,10.2503,28.2579,9.0287,38.6183,0.0941913,166.282
25099.9,10.8501,33.5669,9.04075,38.0397,0.0894094,161.328
31599.9,11.7429,39.5745,9.05138,37.6795,0.0850492,156.19
39800.1,13.0104,46.0917,9.02276,37.4826,0.0740613,150.783
50100,14.8279,52.3161,9.06437,37.2782,0.068697,144.831
63098.8,17.3361,58.3419,9.09883,37.2203,0.0628696,141.338
79399.8,20.6741,63.7659,9.13879,37.1722,0.0539668,138.347
99900.4,25.1287,68.4127,9.24532,37.2254,0.0461221,138.771
126001,30.8745,72.3929,9.33918,37.1714,0.0373868,138.251
157998,38.0931,75.6161,9.463,37.1691,0.0340489,138.707
198999,47.6227,78.1876,9.74878,37.2809,0.0292316,143.367
250997,59.8318,80.2379,10.145,37.3894,0.0250514,148.983
315998,75.3862,81.8147,10.7331,37.5821,0.0206588,154.124
397989,95.532,83.0199,11.6095,37.9199,0.0176433,161.342
501001,121.753,83.9612,12.8087,38.463,0.014464,167.768
629995,157.942,84.3939,15.4293,39.71,0.0106862,-167.697
793009,208.194,84.7416,19.0806,41.6083,0.00695881,-142.89
998040,284.655,84.7421,26.0852,45.2022,0.00817318,-68.2158
1.2601e+06,411.557,84.4432,39.8524,51.7368,0.0547745,-20.3749
1.58003e+06,707.237,82.457,92.8387,70.6229,0.117374,-18.7047
1.98982e+06,2288.99,72.6019,684.429,174.707,0.678544,-42.5305
2.50995e+06,1433.67,-77.5917,308.062,nan,0.256912,-167.623
3.15981e+06,523.159,-84.2406,52.5,nan,0.15048,-165.124
3.96992e+06,287.718,-85.8572,20.7857,nan,0.151169,-168.635
4.99987e+06,158.027,-84.5141,15.1075,nan,0.169232,-168.007
