f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.30064,1.87639,7.29673,190.228,0.0558972,-19.776
252,7.33523,2.2581,7.32953,182.533,0.0536106,-24.8242
317.003,7.33168,2.80264,7.32291,179.983,0.0564872,-27.7198
399,7.3554,3.45809,7.34201,176.972,0.0558866,-35.7356
502,7.42829,4.20348,7.40831,172.624,0.0523346,-46.481
632.044,7.48579,5.10849,7.45606,167.844,0.0552503,-58.7949
795.99,7.55079,6.12874,7.50764,161.185,0.0593614,-64.581
1000,7.69023,7.14376,7.63053,152.208,0.0606135,-78.7078
1260,7.83163,8.17001,7.75215,140.582,0.0610256,-92.2548
1590,8.04776,8.98316,7.94905,125.783,0.0636882,-103.255
1999.99,8.26579,9.63096,8.14929,110.047,0.0662422,-116.708
2519.99,8.49485,10.0935,8.36338,94.0263,0.0693719,-131.352
3169.95,8.71293,10.426,8.56908,79.1638,0.0724336,-141.109
3979.97,8.90859,10.8975,8.74794,67.349,0.0726286,-149.654
5020.01,9.04778,11.5553,8.86439,57.4606,0.0739018,-155.728
6309.98,9.18486,12.6249,8.96279,50.635,0.0737032,-162.522
7949.99,9.30632,14.2688,9.01922,45.9197,0.0757197,-168.171
9999.96,9.4338,16.5947,9.04087,42.8812,0.074792,-173.145
12599.8,9.62396,19.5467,9.06932,40.6727,0.0765731,-178.271
15900,9.91162,23.3605,9.09914,39.3393,0.0655479,-179.825
20000,10.3209,27.9364,9.11815,38.4775,0.072658,170.849
25099.9,10.9116,33.2952,9.12047,37.9813,0.0708055,165.007
31599.8,11.8005,39.2616,9.13669,37.6135,0.0673888,159.84
39799.8,13.0657,45.6361,9.13573,37.3531,0.0618215,155.096
50099.9,14.873,51.971,9.16264,37.2169,0.0560882,150.222
63099.5,17.3541,58.0642,9.17977,37.1468,0.0500766,145.915
79399.6,20.71,63.4976,9.24155,37.1505,0.0433638,145.695
99900.3,25.0843,68.1669,9.32898,37.0963,0.0384595,143.059
126001,30.904,72.2232,9.43531,37.1717,0.0332689,145.775
158000,38.1212,75.4326,9.58822,37.1653,0.02874,146.983
198999,47.6151,78.0553,9.85475,37.257,0.0237562,150.767
250999,59.8566,80.1273,10.263,37.3922,0.023013,154.322
315986,75.4184,81.7109,10.8729,37.5897,0.0181171,165.924
397991,95.5577,82.9536,11.7224,37.9245,0.0152625,168.352
501006,122.045,83.8732,13.0258,38.5486,0.013335,-177.735
630012,157.816,84.4983,15.1305,39.684,0.0111483,-166.602
793003,208.175,84.7728,18.9658,41.6069,0.00712209,-139.861
998001,284.925,84.7556,26.0435,45.2478,0.0115555,-55.9719
1.25989e+06,420.925,84.477,40.512,52.9264,0.0319423,-28.4048
1.58007e+06,725.984,82.3585,96.5371,72.4764,0.0892188,-20.7345
1.98975e+06,2347.3,72.4035,709.616,178.97,0.642294,-43.4214
2.51004e+06,1472.52,-78.1011,303.612,nan,0.273946,-169.961
3.15976e+06,538.482,-84.9153,47.7248,nan,0.170099,-170.733
3.97019e+06,288.874,-85.6668,21.8266,nan,0.153987,-168.782
4.99963e+06,158.157,-84.3058,15.6922,nan,0.170774,-167.808
