f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.05367,1.93557,7.04964,189.587,0.022988,-51.4633
251.999,7.14626,2.32168,7.1404,182.836,0.0294386,-48.6034
317.003,7.17125,2.87866,7.1622,180.816,0.0319138,-58.601
398.998,7.19733,3.5245,7.18372,176.491,0.0352579,-70.3589
502,7.26284,4.33639,7.24205,174.106,0.0397527,-81.0501
632.003,7.32384,5.27502,7.29282,169.561,0.0467937,-87.0206
796.007,7.40809,6.29363,7.36344,162.373,0.055564,-106.283
999.999,7.534,7.34037,7.47226,153.198,0.0627606,-105.924
1260.01,7.66507,8.38392,7.58316,141.169,0.0715696,-117.767
1590,7.89068,9.24042,7.78829,126.83,0.0818606,-130.111
1999.99,8.11004,9.87441,7.98989,110.675,0.0887623,-138.139
2520,8.33038,10.3583,8.19461,94.5985,0.0963762,-146.504
3169.96,8.55104,10.7303,8.40152,79.9341,0.103192,-154.582
3979.99,8.76828,11.1859,8.6017,68.0203,0.0997985,-158.365
5019.98,8.85688,11.9491,8.66496,58.1375,0.110534,-166.289
6310,9.01677,13.0365,8.78438,51.3011,0.105525,-169.964
7950.01,9.15422,14.7137,8.85403,46.5466,0.108527,-175.597
10000,9.30171,17.0072,8.89493,43.3007,0.113095,179.727
12599.8,9.49195,20.0829,8.91481,41.1705,0.111632,175.064
15900.1,9.77609,23.9981,8.93104,39.7985,0.111392,169.943
19999.9,10.2041,28.6341,8.95613,38.9131,0.108312,165.311
25099.9,10.8032,34.028,8.95329,38.3332,0.100382,159.803
31600,11.7301,40.0049,8.98512,37.9792,0.0949824,154.998
39799.8,13.038,46.3827,8.99414,37.7457,0.08544,149.837
50100.2,14.8775,52.7607,9.00305,37.6259,0.0767701,144.202
63099.4,17.4152,58.7665,9.03025,37.5596,0.068408,139.909
79399.7,19.9726,64.2081,8.69012,36.0463,0.0407404,99.0932
99900.9,24.3861,69.2162,8.65321,36.322,0.0286802,94.5634
126001,30.1527,73.0585,8.78634,36.4339,0.0217048,88.7032
158000,37.3445,76.2287,8.88976,36.5362,0.0186344,89.8451
198998,46.7206,78.7656,9.10229,36.6502,0.0132993,84.8306
251001,58.7273,80.7528,9.4371,36.7539,0.00986421,75.1588
315997,74.1146,82.2279,10.0228,36.9856,0.00724257,66.4909
397996,93.8624,83.277,10.9883,37.2766,0.00622584,46.9646
501004,119.676,84.0802,12.3429,37.815,0.00693435,11.3525
630022,154.503,84.5818,14.589,38.856,0.011149,-5.91728
792997,203.34,84.9348,17.9528,40.651,0.0189824,-18.7713
997998,277.951,84.9508,24.4629,44.154,0.0298202,-19.7539
1.25998e+06,411.113,84.4818,39.5337,51.6893,0.0537338,-21.1974
1.58002e+06,706.489,82.491,92.3254,70.554,0.115059,-19.0314
1.99006e+06,2281.66,72.6142,681.768,174.138,0.658447,-43.7569
2.50998e+06,1429.25,-77.61,306.667,nan,0.254787,-167.349
3.15975e+06,522.092,-84.5165,49.8908,nan,0.149975,-165.773
3.97017e+06,278.816,-85.0786,23.9196,nan,0.131861,-160.514
5.00008e+06,152.374,-83.5394,17.145,nan,0.147712,-160.181
