f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.28698,1.84988,7.28318,187.19,0.0557421,-19.8783
251.999,7.29708,2.29563,7.29123,184.601,0.0577096,-24.4352
317.003,7.32295,2.81035,7.31414,180.263,0.0584282,-30.7809
399,7.38576,3.47415,7.37219,178.526,0.0536097,-39.9194
502,7.42191,4.21529,7.40183,172.96,0.0543468,-49.1448
632.057,7.48648,5.15933,7.45615,169.522,0.0558952,-62.1205
795.948,7.56727,6.13714,7.5239,161.766,0.0604701,-69.271
1000,7.67405,7.1979,7.61358,153.033,0.0640853,-80.4469
1260,7.83477,8.18821,7.7549,140.95,0.0662285,-95.35
1590,8.04764,9.03904,7.9477,126.558,0.0703647,-106.391
2000,8.26753,9.64488,8.15067,110.227,0.073729,-119.038
2520,8.49129,10.079,8.36024,93.8526,0.0764158,-131.413
3169.95,8.71031,10.4184,8.56671,79.083,0.0809872,-142.526
3979.98,8.90987,10.8033,8.75196,66.7835,0.0816128,-151.525
5019.97,9.03928,11.5963,8.85477,57.6078,0.0829126,-157.39
6309.96,9.1861,12.6238,8.96404,50.6375,0.0835297,-163.474
7950.06,9.30421,14.2406,9.0183,45.8199,0.0842175,-169.61
9999.99,9.42865,16.5571,9.0377,42.7632,0.0847901,-174.702
12599.9,9.62431,19.5106,9.07168,40.6017,0.0831771,-179.829
15900,9.90902,23.3703,9.09609,39.3446,0.0831332,175.566
20000,10.3043,27.9416,9.10305,38.4222,0.0807683,169.42
25099.9,10.904,33.2271,9.12128,37.8865,0.0779836,164.942
31599.8,11.7899,39.2354,9.13188,37.5586,0.0749282,159.07
39799.8,13.0605,45.6172,9.13517,37.3261,0.0679985,153.999
50100.4,14.8586,51.9591,9.1562,37.1746,0.0612171,148.391
63099.4,17.3474,58.041,9.18219,37.1231,0.0539006,146.205
79399.7,20.7123,63.4452,9.25951,37.1376,0.0472904,144.009
99899.5,25.0767,68.1599,9.32897,37.0835,0.0364371,141.787
125998,30.8574,72.2174,9.42405,37.1154,0.0352363,143.215
157999,38.1008,75.421,9.59056,37.1437,0.0304035,145.652
198999,47.5958,78.0513,9.85408,37.2412,0.0249315,149.901
250999,59.7515,80.1177,10.2548,37.3255,0.0223287,154.272
315988,75.4102,81.7471,10.8246,37.5889,0.0201449,161.012
397982,95.5658,82.9605,11.7119,37.9292,0.0156104,165.56
500979,122.134,83.8825,13.0156,38.5796,0.0149015,174.34
630011,157.675,84.4219,15.3264,39.6436,0.0106178,-174.307
793015,207.926,84.759,18.9932,41.5554,0.00588029,-147.008
997994,284.724,84.7721,25.9434,45.2175,0.00961689,-56.6195
1.25999e+06,420.603,84.3576,41.3535,52.8711,0.0307218,-30.8231
1.58005e+06,726.19,82.3457,96.7258,72.4958,0.0903983,-21.443
1.98973e+06,2333.65,72.572,698.942,178.095,0.639603,-43.7519
2.51002e+06,1473.38,-78.0913,304.035,nan,0.274262,-169.908
3.16013e+06,536.725,-84.9317,47.4163,nan,0.171353,-170.719
3.97019e+06,289.076,-85.6374,21.9898,nan,0.155163,-168.401
5.00011e+06,158.516,-84.2889,15.7745,nan,0.173611,-167.536
