f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.28103,1.9026,7.27702,192.366,0.0566804,-20.1226
251.999,7.29644,2.29845,7.29057,184.811,0.0568341,-24.333
317.003,7.31442,2.84012,7.30544,181.959,0.0579357,-29.7912
399,7.33872,3.49974,7.32503,178.694,0.0573356,-38.1199
502.001,7.37351,4.23498,7.35338,172.633,0.0578819,-46.7871
632.011,7.49512,5.26001,7.46355,173.033,0.05692,-57.6979
795.943,7.55656,6.13301,7.51331,161.43,0.0596588,-70.049
1000,7.67767,7.21475,7.61688,153.461,0.0631291,-81.7121
1260,7.83198,8.2628,7.75067,142.174,0.0660961,-93.9339
1590,8.04334,9.01579,7.94397,126.168,0.0691249,-105.05
2000,8.25628,9.66246,8.13916,110.276,0.0726992,-118.236
2520,8.48981,10.0977,8.35831,94.0085,0.0757878,-132.266
3169.95,8.70301,10.4422,8.55888,79.195,0.0789737,-143.372
3979.98,8.89724,10.8602,8.73789,67.0358,0.0807408,-150.824
5019.98,9.04375,11.6005,8.85902,57.6567,0.0810276,-157.946
6310.01,9.16444,12.6776,8.94101,50.7296,0.0811759,-163.374
7950.05,9.28466,14.3155,8.99636,45.9593,0.081825,-170.293
10000,9.43247,16.5322,9.04253,42.7178,0.0845081,-174.972
12599.8,9.62134,19.5584,9.0662,40.6852,0.0822099,178.862
15900,9.9012,23.3657,9.08923,39.3063,0.0801572,173.745
19999.9,10.2978,27.9416,9.09738,38.3984,0.0768625,168.085
25099.9,10.8908,33.2166,9.11133,37.83,0.0638084,166.962
31599.9,11.7764,39.2905,9.11427,37.5598,0.0718144,159.193
39799.9,13.0544,45.6107,9.13198,37.3045,0.066762,153.916
50099.8,14.8436,51.9967,9.13933,37.1567,0.0604796,148.254
63099.6,17.3383,58.1302,9.15445,37.1394,0.0541097,146.469
79400,20.6834,63.5212,9.22204,37.1101,0.0462363,143.595
99899.9,25.0665,68.2018,9.30816,37.0791,0.0410499,141.676
126003,30.8279,72.2235,9.41192,37.0796,0.0343441,143.055
158000,38.0229,75.3946,9.58785,37.0632,0.0303234,142.627
199000,47.5962,78.0749,9.83497,37.2447,0.0268228,148.91
251000,59.8097,80.1087,10.2741,37.3606,0.0218089,154.473
315997,75.4207,81.6963,10.8923,37.588,0.0188121,161.35
397991,95.5147,82.9593,11.7077,37.9079,0.0170506,167.057
501017,121.995,83.84,13.0907,38.5298,0.0141762,173.997
629988,157.671,84.4267,15.313,39.6444,0.0102182,-176.655
793028,207.841,84.7514,19.0126,41.5372,0.00712211,-145.972
997992,284.546,84.8254,25.6638,45.1932,0.0117291,-58.9999
1.25988e+06,421.094,84.2811,41.9613,52.9304,0.0292952,-29.6299
1.57997e+06,725.85,82.4006,95.9913,72.475,0.0880642,-20.5933
1.98986e+06,2343.36,72.6682,698.096,178.919,0.637754,-43.2523
2.51004e+06,1478.96,-77.9426,308.941,nan,0.274193,-169.884
3.16054e+06,538.903,-84.8306,48.556,nan,0.170556,-170.638
3.96993e+06,289.194,-85.7135,21.6156,nan,0.154793,-168.524
5.00033e+06,158.378,-84.3664,15.5476,nan,0.17097,-167.986
