f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.0603,1.9245,7.05632,188.68,0.0235669,-49.8258
251.999,7.15072,2.33122,7.1448,183.701,0.0295711,-47.8382
317.004,7.17578,2.87743,7.16673,180.852,0.0324314,-58.8766
398.998,7.19718,3.52932,7.18353,176.728,0.0358465,-69.5119
502,7.26843,4.32761,7.2477,173.888,0.0399005,-80.5526
632.001,7.32911,5.26255,7.29822,169.284,0.0471684,-86.3193
796.006,7.41081,6.30538,7.36598,162.735,0.0551869,-105.002
1000,7.54401,7.33671,7.48225,153.325,0.0620013,-105.874
1260,7.67626,8.37482,7.59441,141.222,0.0726738,-119.616
1590,7.89402,9.23273,7.79175,126.779,0.0815343,-130.156
2000,8.12229,9.85991,8.00232,110.681,0.0886472,-138.263
2520,8.33353,10.3553,8.19779,94.6069,0.0955308,-146.194
3169.95,8.56196,10.7288,8.4123,80.0253,0.102619,-154.763
3979.99,8.76955,11.1532,8.60392,67.8336,0.0997125,-158.937
5019.99,8.8646,11.9381,8.67287,58.1355,0.110221,-166.748
6309.99,9.0172,13.0284,8.78508,51.2723,0.106377,-171.062
7950.01,9.15795,14.679,8.85904,46.4583,0.108287,-175.858
9999.99,9.3041,16.9683,8.89906,43.2159,0.11145,178.915
12599.8,9.49001,20.0701,8.91372,41.1371,0.110941,173.705
15900,9.77909,23.939,8.93787,39.7187,0.109263,168.548
19999.9,10.1992,28.5962,8.95505,38.8473,0.106364,164.065
25099.8,10.8036,33.9422,8.9627,38.2499,0.0989496,157.693
31599.7,11.7161,39.9821,8.97743,37.9164,0.0925266,152.507
39800.1,13.026,46.3903,8.98461,37.7155,0.0819554,147.342
50100,14.8649,52.7187,9.00409,37.5732,0.073323,142.397
63099.3,17.3869,58.7741,9.01361,37.5016,0.0648782,137.977
79400,19.9906,64.2772,8.67628,36.0998,0.0381741,96.6104
99898.6,24.4961,68.9273,8.80761,36.4164,0.0314032,98.8126
126000,30.1275,72.9968,8.81002,36.3916,0.0218883,80.674
158000,37.3357,76.2444,8.87775,36.5301,0.0163793,82.8972
199001,46.7723,78.6727,9.18669,36.6784,0.0131878,83.472
250998,58.7516,80.7093,9.48503,36.7649,0.00963948,68.2805
315992,74.0933,82.1867,10.0726,36.972,0.00708588,59.2324
397998,94.1046,83.374,10.8585,37.38,0.00388654,43.3453
500993,119.666,84.1269,12.2447,37.8158,0.00894477,10.9512
629996,154.93,84.6155,14.5384,38.9669,0.00988351,-11.9157
792993,203.838,85.0125,17.7215,40.7557,0.0180238,-24.8552
997993,278.926,84.9456,24.5738,44.3088,0.0279792,-23.7025
1.26002e+06,412.245,84.4802,39.6534,51.8299,0.0516693,-22.6301
1.57993e+06,706.831,82.5078,92.1642,70.5951,0.116575,-19.0432
1.99003e+06,2292.52,72.761,679.406,175.11,0.657541,-44.2627
2.50994e+06,1431.28,-77.494,309.932,nan,0.256287,-167.36
3.16021e+06,522.506,-84.2103,52.7092,nan,0.150986,-165.333
3.97022e+06,279.403,-85.0284,24.2136,nan,0.134294,-160.873
5.0001e+06,152.68,-83.4882,17.315,nan,0.150261,-160.823
