f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.05888,1.92214,7.05491,188.412,0.0473908,-22.7883
252,7.07921,2.37709,7.07312,185.44,0.0464562,-29.6245
317.003,7.0997,2.88168,7.09072,179.199,0.0444083,-38.8951
398.999,7.13505,3.54733,7.12138,176.095,0.0474265,-47.0805
502,7.16825,4.34744,7.14762,172.276,0.0537391,-51.0495
632.016,7.26075,5.24911,7.2303,167.274,0.0538397,-62.9728
795.997,7.31192,6.33136,7.26733,161.224,0.0580389,-72.4641
1000,7.4873,7.31726,7.42633,151.772,0.0601109,-89.7758
1260,7.62325,8.38776,7.54171,140.463,0.0653815,-104.583
1590,7.84439,9.23663,7.74268,126.035,0.0696886,-117.197
2000,8.07067,9.84147,7.95191,109.774,0.0709228,-125.686
2520,8.27772,10.3448,8.14316,93.8791,0.0724616,-132.87
3169.96,8.49426,10.6859,8.34696,79.0789,0.0746492,-142.754
3979.97,8.68854,11.1503,8.52453,67.1901,0.0790932,-152.816
5019.97,8.94316,11.7164,8.75682,57.5774,0.0876227,-162.429
6309.99,9.02656,12.9277,8.79776,50.9356,0.0872516,-167.635
7949.99,9.11465,14.6277,8.81922,46.0807,0.0868205,-172.431
9999.99,9.28074,16.9118,8.87938,42.968,0.0870486,-176.637
12599.8,9.53987,19.7905,8.97641,40.8003,0.0897617,178.033
15900,9.8376,23.6128,9.01393,39.4434,0.0898467,172.85
19999.9,10.2493,28.2727,9.02656,38.6331,0.0869931,168.119
25099.9,10.8503,33.5693,9.04064,38.0427,0.0833211,163.098
31600,11.746,39.5612,9.05551,37.6787,0.0783515,157.376
39799.8,12.9957,46.0656,9.01686,37.4242,0.0700653,152.579
50100,14.8268,52.3571,9.05529,37.2961,0.0650299,147.213
63099.3,17.3408,58.3701,9.09401,37.2413,0.0596313,142.597
79400,20.6831,63.7674,9.14225,37.1887,0.0528554,140.182
99900.1,25.1094,68.3825,9.25052,37.1892,0.0453342,139.524
126001,30.8771,72.4021,9.33525,37.1765,0.0376234,140.459
158001,38.11,75.6238,9.46226,37.1863,0.0337421,140.381
198998,47.616,78.1665,9.76457,37.2731,0.0286201,145.013
250997,59.7916,80.2244,10.152,37.3628,0.0239326,148.719
315992,75.3286,81.8529,10.6752,37.5577,0.0203579,155.769
398006,95.5834,83.0373,11.587,37.9401,0.0168484,162.811
501010,121.816,83.9117,12.9199,38.4788,0.014396,170.332
629994,157.849,84.4174,15.3556,39.6882,0.0103041,-171.406
792992,208.151,84.7611,19.0062,41.6018,0.00587708,-144.364
997974,284.519,84.7571,25.9989,45.1846,0.00932602,-56.3465
1.25997e+06,410.88,84.3936,40.1406,51.6528,0.0541685,-19.1903
1.58005e+06,709.435,82.5268,92.2712,70.8531,0.114655,-18.8913
1.99001e+06,2288.14,72.6083,683.929,174.632,0.680235,-42.7004
2.51001e+06,1432.94,-77.7186,304.805,nan,0.256683,-167.819
3.1599e+06,524.695,-84.4095,51.115,nan,0.152417,-165.932
3.9705e+06,287.805,-85.913,20.5124,nan,0.152468,-168.413
5.00021e+06,158.104,-84.4936,15.1712,nan,0.170942,-168.154
