f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.29236,1.88098,7.28843,190.476,0.0582604,-18.349
252,7.31055,2.29921,7.30467,185.229,0.0577624,-23.1213
317.003,7.33259,2.81359,7.32375,180.709,0.0564693,-28.0281
399,7.34292,3.46548,7.3295,177.049,0.0549495,-36.1719
502,7.36413,4.27077,7.34369,173.868,0.0563355,-43.9973
631.989,7.45578,5.1562,7.42561,168.743,0.0582436,-51.3521
795.99,7.52709,6.18139,7.48333,162.054,0.0574036,-66.0347
1000.03,7.64578,7.15962,7.58616,151.659,0.0588538,-80.8779
1260,7.84706,8.20267,7.76678,141.418,0.0607565,-92.3616
1590,8.04975,9.02604,7.95007,126.41,0.0634758,-105.005
2000,8.27433,9.66886,8.15679,110.589,0.0663994,-118.135
2520,8.43128,10.175,8.29868,94.0677,0.0640881,-120.717
3169.96,8.59152,10.5699,8.44574,79.1258,0.0636354,-129.739
3979.98,8.80475,10.9636,8.64404,66.963,0.0675493,-143.833
5019.98,8.9125,11.7452,8.7259,57.5188,0.0634827,-148.435
6309.99,9.05338,12.8234,8.82757,50.6816,0.0645837,-156.924
7950.01,9.19808,14.4572,8.90682,45.9721,0.0686145,-164.105
9999.99,9.34694,16.7007,8.95268,42.7498,0.0689107,-170.665
12599.7,9.54156,19.728,8.98153,40.6839,0.066516,-175.629
15900,9.81596,23.5969,8.9952,39.3316,0.0634199,-179.819
20000,10.218,28.2501,9.00092,38.4868,0.0620995,173.667
25099.9,10.8205,33.5824,9.0145,37.9515,0.0599668,168.193
31599.7,11.7234,39.5291,9.04224,37.5809,0.0573585,160.287
39800,13.0343,45.8481,9.07922,37.3977,0.0542179,156.124
50099.7,14.8302,52.3141,9.0662,37.2834,0.0491439,150.142
63098.4,17.3334,58.3907,9.08486,37.2343,0.0430308,146.086
79399.5,20.6811,63.7434,9.14917,37.1777,0.0383527,143.196
99899.3,25.0755,68.4835,9.19691,37.1651,0.0324531,143.571
126001,30.9223,72.3151,9.39361,37.2128,0.0294043,144.368
158001,38.1668,75.4802,9.56897,37.2177,0.026092,146.026
198998,47.6248,78.0734,9.84205,37.2673,0.0226045,149.025
251002,59.7905,80.2185,10.1579,37.3608,0.0182443,156.962
315993,75.3258,81.8129,10.7269,37.5523,0.0157155,162.96
397994,95.4888,83.003,11.6323,37.9009,0.01355,168.626
501004,122.053,83.868,13.0376,38.5511,0.0111002,-179.456
629996,157.493,84.402,15.3632,39.5976,0.00900463,-162.449
793001,207.895,84.7223,19.1229,41.5476,0.00611774,-117.124
998001,285.102,84.795,25.8641,45.2788,0.0101184,-63.7541
1.25998e+06,422.106,84.2639,42.1882,53.0517,0.0305442,-32.6901
1.57997e+06,725.895,82.264,97.7113,72.4561,0.0904543,-21.5475
1.99006e+06,2339.9,72.3939,707.75,178.368,0.653639,-43.6491
2.50995e+06,1476.72,-78.067,305.337,nan,0.276067,-170.308
3.16024e+06,538.108,-84.9356,47.5017,nan,0.171392,-171.18
3.97016e+06,289.085,-85.8963,20.6873,nan,0.154715,-169.466
5.00033e+06,157.505,-84.6135,14.7854,nan,0.170705,-169.216
