f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.29057,1.88355,7.28663,190.691,0.0582138,-19.3188
251.999,7.30965,2.30274,7.30375,185.491,0.057506,-24.1489
317.003,7.32596,2.82261,7.31707,181.123,0.0569537,-30.0776
399,7.33674,3.47555,7.32325,177.413,0.0566227,-37.6797
502,7.36116,4.28358,7.3406,174.318,0.0581635,-46.4663
632.003,7.45257,5.17078,7.42224,169.142,0.0606761,-53.9602
796.021,7.52605,6.19242,7.48213,162.314,0.0601328,-69.1488
1000,7.67434,7.2022,7.61378,153.13,0.0627688,-81.8627
1260,7.84711,8.22968,7.7663,141.881,0.066214,-95.6803
1590,8.05317,9.06256,7.95264,126.972,0.0697638,-108.805
1999.99,8.27558,9.69304,8.15743,110.88,0.0741515,-121.711
2519.99,8.4384,10.1533,8.30625,93.9482,0.0713011,-125.861
3169.96,8.59379,10.5716,8.44792,79.1592,0.0713384,-134.631
3979.99,8.80588,11.0002,8.64409,67.1921,0.0770991,-148.186
5019.99,8.91668,11.7508,8.72981,57.5724,0.0712103,-151.753
6309.97,9.05163,12.872,8.82416,50.861,0.0742468,-160.621
7950.02,9.20248,14.4563,8.91112,45.991,0.0763004,-168.375
9999.97,9.35145,16.7188,8.95615,42.8157,0.0762011,-174.235
12599.8,9.54326,19.7199,8.98358,40.6747,0.0723915,-178.991
15900,9.82462,23.5452,9.00668,39.2849,0.0683506,175.548
19999.9,10.2135,28.1995,9.00124,38.4068,0.0659766,169.866
25099.9,10.8176,33.4675,9.02404,37.8265,0.0636302,163.894
31599.6,11.7224,39.4323,9.05407,37.5009,0.0603828,157.944
39799.8,13.0337,45.8041,9.08595,37.368,0.0576632,153.643
50099.8,14.8103,52.1994,9.07744,37.1754,0.0511968,149.799
63099.8,17.2823,58.2155,9.10302,37.0536,0.0461123,144.455
79398.9,20.6107,63.7026,9.13119,37.0384,0.0403908,141.05
99899.6,25.0111,68.4162,9.20062,37.0524,0.0349645,141.915
125999,30.8262,72.2543,9.39559,37.0851,0.0308324,143.284
157999,38.081,75.479,9.54824,37.1342,0.0273197,145.411
198998,47.5193,78.11,9.79058,37.1897,0.0241828,149.813
250998,59.6587,80.245,10.1083,37.2819,0.0190947,155.152
315989,75.229,81.8076,10.72,37.5041,0.0172638,161.943
398001,95.3047,82.988,11.6345,37.826,0.0149658,169.122
500983,121.877,83.8823,12.9887,38.498,0.0120499,-176.951
630012,157.194,84.4547,15.19,39.5248,0.00922286,-162.56
793006,207.538,84.7713,18.9131,41.4791,0.00598974,-118.746
998008,284.716,84.7537,26.0339,45.2141,0.00934855,-63.8241
1.25994e+06,421.341,84.3308,41.6218,52.963,0.0299565,-32.4822
1.57995e+06,724.172,82.2846,97.2222,72.2884,0.0896831,-21.1858
1.98986e+06,2346.06,72.4135,708.851,178.875,0.638235,-43.5516
2.50996e+06,1470.85,-77.9902,306.053,nan,0.273365,-169.924
3.16023e+06,538.855,-85.0651,46.3545,nan,0.169636,-171.453
3.96988e+06,288.121,-85.7607,21.2986,nan,0.152969,-168.313
4.99961e+06,158.062,-84.4079,15.4025,nan,0.169161,-169.217
