f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.05158,1.93842,7.04754,189.81,0.0471222,-22.9804
251.999,7.06898,2.38901,7.06283,186.1,0.0457229,-29.9473
317.003,7.09283,2.89274,7.08379,179.712,0.0439978,-39.142
399.001,7.12338,3.57282,7.10954,177.068,0.0478617,-47.0472
502,7.16093,4.37048,7.14011,173.01,0.054893,-51.2249
631.995,7.25417,5.28023,7.22339,168.116,0.0553644,-63.0361
796.011,7.30847,6.35138,7.26361,161.653,0.0600922,-72.6074
1000,7.47959,7.35368,7.41807,152.366,0.0625109,-90.1161
1260,7.62261,8.40505,7.54074,140.738,0.0679735,-104.063
1590,7.84658,9.26651,7.74418,126.475,0.0733916,-116.335
1999.99,8.07158,9.85867,7.95238,109.977,0.0757146,-124.555
2520,8.28134,10.3569,8.14641,94.0288,0.0783454,-132.784
3169.96,8.49676,10.692,8.34925,79.147,0.080827,-143.24
3979.99,8.69338,11.1399,8.52958,67.1655,0.0863941,-153.531
5019.98,8.94806,11.7236,8.7614,57.6436,0.0949297,-163.311
6309.96,9.03096,12.9129,8.80258,50.9034,0.0944123,-168.452
7950.04,9.12237,14.5857,8.82838,45.9898,0.0929742,-173.666
9999.96,9.28272,16.8461,8.88437,42.8153,0.0938968,-178.784
12599.9,9.54051,19.768,8.97829,40.7582,0.0949855,176.142
15900,9.83555,23.5818,9.01418,39.3862,0.0944064,170.366
19999.9,10.2503,28.1891,9.03451,38.532,0.0901924,165.97
25099.9,10.8487,33.5603,9.04024,38.0279,0.0856086,160.63
31599.8,11.7281,39.5437,9.04397,37.6074,0.0793942,154.799
39800.1,12.9885,46.0436,9.01544,37.3893,0.0698106,151.041
50100.2,14.8222,52.2806,9.06814,37.2459,0.0665713,144.24
63098.5,17.3115,58.3518,9.0834,37.1716,0.0594989,140.926
79400,20.6614,63.789,9.12569,37.1566,0.0518077,139.729
99900,25.095,68.4053,9.23593,37.1738,0.0441559,139.067
126000,30.8551,72.3956,9.33189,37.1488,0.0365034,139.292
158000,38.0546,75.6081,9.45856,37.13,0.0323871,139.674
198998,47.5933,78.188,9.74241,37.2582,0.0282538,144.509
251002,59.7444,80.234,10.1341,37.3337,0.0235938,147.486
316002,75.3082,81.8394,10.6899,37.545,0.0204003,153.029
397992,95.4946,83.0641,11.5319,37.9084,0.0170577,161.677
501004,121.614,83.9374,12.8442,38.4172,0.0134036,167.36
630009,157.806,84.442,15.284,39.678,0.00977586,-171.262
792995,208.092,84.7294,19.1153,41.5877,0.0065599,-138.324
997971,284.496,84.7595,25.9849,45.1813,0.00915096,-58.8452
1.25991e+06,410.293,84.454,39.6528,51.5867,0.0552041,-20.1302
1.57986e+06,708.378,82.5487,91.8651,70.7595,0.115659,-19.6847
1.9899e+06,2287.95,72.8322,675.338,174.839,0.680474,-42.8335
2.51006e+06,1431.41,-77.6271,306.715,nan,0.255866,-167.533
3.16013e+06,522.318,-84.288,51.9854,nan,0.148771,-165.141
3.97051e+06,287.554,-85.9241,20.4386,nan,0.150899,-168.685
4.99971e+06,158.183,-84.5962,14.8966,nan,0.169392,-167.683
