f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.06382,1.9302,7.05981,189.333,0.0234699,-49.0489
251.999,7.1544,2.32403,7.14852,183.229,0.0296725,-48.0267
317.004,7.17983,2.87983,7.17076,181.105,0.0315594,-58.9845
398.998,7.19838,3.51639,7.18483,176.111,0.0357575,-70.0699
502,7.26842,4.3287,7.24768,173.931,0.0398539,-80.3577
632.008,7.32902,5.26658,7.29808,169.409,0.0467822,-85.8255
795.994,7.41606,6.2843,7.37149,162.311,0.0550541,-105.499
1000,7.54275,7.31825,7.48131,152.916,0.0623918,-106.592
1260,7.66833,8.3665,7.58672,140.938,0.0710018,-117.806
1590,7.89924,9.21597,7.79728,126.635,0.0808197,-129.806
2000,8.11665,9.85426,7.9969,110.542,0.0876197,-138.021
2520,8.33919,10.3384,8.2038,94.5185,0.0951039,-147.036
3169.95,8.55886,10.7013,8.41001,79.7935,0.101949,-155.018
3979.99,8.77283,11.1474,8.60731,67.8244,0.0986027,-159.428
5019.99,8.8654,11.9226,8.67416,58.0666,0.108733,-167.264
6309.98,9.02169,13.0105,8.79009,51.2286,0.103502,-171.211
7950.02,9.16437,14.6796,8.86523,46.4926,0.105906,-177.083
10000,9.30657,16.9774,8.90099,43.2499,0.108774,177.969
12599.8,9.49326,20.0254,8.9193,41.0632,0.107799,173.549
15900,9.7777,23.9604,8.93512,39.7464,0.106016,168.259
19999.9,10.204,28.5995,8.95897,38.8698,0.100754,163.261
25099.9,10.8051,33.9347,8.96473,38.2475,0.0947808,158.065
31599.7,11.7284,39.9651,8.98909,37.9428,0.0886183,153.335
39800,13.0259,46.3727,8.98742,37.7043,0.0804344,148.133
50100,14.8611,52.6922,9.0073,37.5505,0.0714008,143.296
63099.5,17.3844,58.702,9.03101,37.4674,0.063872,139.478
79400.4,20.1267,64.16,8.77244,36.3095,0.0402274,105.54
99900.4,24.4983,68.905,8.81733,36.4136,0.0315998,98.8778
126002,30.2949,72.8549,8.93073,36.5655,0.0234379,96.9443
157999,37.4693,76.1007,9.00072,36.6382,0.0187311,94.8895
198999,46.865,78.5256,9.32283,36.7325,0.0157382,96.3356
251001,58.6743,80.7514,9.42999,36.7206,0.00975761,64.5759
315994,74.2341,82.0963,10.2078,37.0339,0.00835193,84.3624
398011,94.1175,83.2097,11.1281,37.3713,0.0056867,66.7618
501009,120.058,84.0668,12.4104,37.9345,0.00556121,22.9172
629980,155.085,84.6659,14.4173,39.0103,0.00911314,-19.1217
792993,204.143,84.945,17.9876,40.8125,0.0167281,-19.2977
997996,278.73,84.9298,24.6333,44.2764,0.028257,-22.407
1.25999e+06,412.512,84.4585,39.8348,51.8627,0.0511123,-21.9445
1.57999e+06,709.498,82.495,92.6691,70.8564,0.113248,-19.8878
1.98998e+06,2273.56,73.0867,661.436,173.971,0.666121,-44.3953
2.50995e+06,1436.87,-77.556,309.624,nan,0.257106,-167.552
3.15939e+06,523.975,-84.3078,51.97,nan,0.151534,-165.503
3.97004e+06,280.097,-84.8737,25.0271,nan,0.135597,-161.846
5.00011e+06,152.794,-83.295,17.8398,nan,0.152858,-160.185
