f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.28858,1.87178,7.2847,189.447,0.0583831,-19.5582
251.999,7.30729,2.30901,7.30136,185.935,0.0578017,-24.2923
317.003,7.32348,2.80482,7.31471,179.922,0.0577167,-30.5568
399,7.3362,3.47634,7.3227,177.44,0.0563588,-38.199
502.001,7.3558,4.29613,7.33513,174.7,0.0576326,-46.3879
632.006,7.4482,5.18721,7.4177,169.578,0.0604728,-53.9403
795.978,7.51678,6.21,7.47267,162.581,0.0601501,-70.1725
999.999,7.66825,7.20758,7.60765,153.122,0.0630633,-81.9077
1260,7.84276,8.21532,7.76228,141.557,0.0661625,-96.4642
1590,8.04696,9.0514,7.94676,126.719,0.0697445,-108.429
1999.99,8.27399,9.66918,8.15645,110.589,0.073423,-121.418
2520,8.43232,10.1865,8.2994,94.1846,0.0718402,-125.617
3169.96,8.58693,10.5741,8.44111,79.1148,0.0718898,-135.193
3979.98,8.80175,11.006,8.63986,67.1955,0.0771555,-147.872
5019.98,8.91312,11.7222,8.72723,57.4117,0.0711555,-152.238
6309.98,9.04844,12.8012,8.82353,50.5681,0.0742837,-161.434
7950.05,9.19886,14.4606,8.90744,45.9862,0.0768647,-167.944
9999.99,9.35032,16.6766,8.95704,42.7055,0.0766029,-174.009
12599.8,9.5382,19.7223,8.97868,40.658,0.0739842,-179.2
15900,9.81525,23.5868,8.99524,39.3127,0.0697925,175.761
19999.9,10.2142,28.1872,9.0029,38.394,0.0668645,169.862
25100,10.8178,33.5274,9.01793,37.8868,0.0643518,164.71
31599.9,11.7024,39.4695,9.03379,37.466,0.0608825,158.159
39799.9,13.033,45.7843,9.08874,37.3536,0.0581849,153.511
50100.4,14.8132,52.1756,9.08412,37.1704,0.0517278,148.534
63098.8,17.2893,58.2929,9.08686,37.1002,0.0463116,144.87
79399.3,20.6218,63.7002,9.13686,37.0573,0.0395997,142.517
99900.5,25.0083,68.4583,9.18247,37.0586,0.034392,143.613
126000,30.8367,72.3271,9.3615,37.1127,0.030511,143.217
157998,38.0689,75.471,9.55033,37.1213,0.0277817,145.483
198999,47.5234,78.1326,9.77308,37.1957,0.0241584,149.115
250997,59.6014,80.2389,10.1049,37.2456,0.0192517,153.148
315990,75.1403,81.812,10.7016,37.4601,0.0164013,160.624
397993,95.3117,83.005,11.6074,37.8309,0.0143055,168.992
501000,121.772,83.8684,13.0067,38.4626,0.011128,-179.037
629982,157.196,84.3949,15.3535,39.5232,0.00991468,-169.761
793005,207.353,84.7628,18.9271,41.4417,0.00591695,-103.14
997973,284.994,84.8004,25.8276,45.2633,0.00928674,-67.357
1.25986e+06,420.888,84.1356,43.0037,52.8916,0.0292314,-31.5018
1.57993e+06,724.505,82.3039,97.0251,72.326,0.0892946,-20.4136
1.98985e+06,2346.03,72.4147,708.797,178.874,0.638595,-43.4998
2.50999e+06,1470.8,-77.954,306.952,nan,0.274213,-169.857
3.15996e+06,537.519,-84.9405,47.4042,nan,0.169109,-170.991
3.96948e+06,289.155,-85.7359,21.4997,nan,0.154461,-168.935
5.00011e+06,157.957,-84.5388,15.0329,nan,0.170167,-168.611
