f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.29051,1.87222,7.28662,189.541,0.0570439,-19.1224
251.999,7.33479,2.31277,7.32882,186.939,0.0531673,-25.4619
317.004,7.32644,2.82169,7.31756,181.076,0.0584824,-29.1573
398.998,7.38061,3.45818,7.36717,177.584,0.0542713,-39.1358
502,7.42362,4.2267,7.40343,173.467,0.0536531,-49.4769
632.015,7.45049,5.10809,7.4209,167.047,0.0601201,-55.4009
795.945,7.5701,6.10841,7.52712,161.072,0.060479,-69.1907
999.984,7.70009,7.23936,7.63871,154.434,0.0628087,-79.9101
1259.99,7.83477,8.19068,7.75485,140.992,0.0668329,-94.0996
1590,8.04959,9.04542,7.94948,126.677,0.0691489,-105.546
2000,8.27284,9.65506,8.15565,110.413,0.0725998,-117.962
2519.99,8.49145,10.1186,8.35938,94.2194,0.0752069,-131.101
3169.95,8.70399,10.4693,8.55909,79.4074,0.0790932,-142.651
3979.97,8.90388,10.8887,8.74358,67.26,0.080424,-150.575
5020,9.04179,11.561,8.85835,57.4503,0.0809672,-157.792
6309.93,9.17916,12.7013,8.95454,50.9051,0.082344,-162.6
7950.03,9.28899,14.2874,9.00168,45.8923,0.0830557,-169.221
9999.99,9.42513,16.6285,9.03097,42.9264,0.0733651,-171.092
12599.9,9.62851,19.5586,9.07294,40.7156,0.0806178,-179.161
15900,9.9131,23.3803,9.09915,39.3767,0.0820349,175.393
19999.9,10.3186,27.9069,9.11867,38.4321,0.07922,168.725
25100,10.9166,33.2102,9.13357,37.9128,0.0629564,164.551
31599.9,11.808,39.2097,9.1493,37.5957,0.0734153,158.658
39799.7,13.0617,45.6836,9.12518,37.372,0.0655101,152.379
50100,14.8794,52.0106,9.15851,37.2531,0.0575557,148.916
63100.1,17.3637,58.0581,9.18642,37.1644,0.054003,145.86
79399.1,20.7002,63.4546,9.25105,37.1192,0.0455458,141.821
99900.7,25.1137,68.2539,9.30448,37.1622,0.0391799,142.083
126001,30.8707,72.2397,9.41666,37.1352,0.0341438,143.786
158001,38.1259,75.4222,9.59605,37.1679,0.029621,145.753
198998,47.6298,78.0507,9.86156,37.2681,0.0244991,151.762
250998,59.8613,80.1252,10.2659,37.3951,0.0218517,156.018
316014,75.401,81.7061,10.8766,37.5772,0.0180097,163.244
398018,95.5895,82.9656,11.7064,37.9356,0.0146933,171.017
501002,122.066,83.8716,13.0314,38.5555,0.0137318,179.244
630018,157.628,84.4397,15.2732,39.6325,0.0097915,-166.016
792954,208.052,84.7879,18.9002,41.5857,0.00660178,-145.083
997971,284.715,84.7389,26.107,45.2146,0.0106649,-58.9862
1.26004e+06,421.21,84.3422,41.5258,52.9435,0.0291385,-28.2091
1.58004e+06,727.362,82.4067,96.1138,72.6235,0.0894581,-21.7139
1.99009e+06,2365.11,72.6634,704.768,180.554,0.638623,-43.2783
2.50961e+06,1474.06,-78.1754,302.058,nan,0.274785,-169.962
3.15932e+06,535.661,-84.8187,48.3746,nan,0.170871,-170.217
3.96991e+06,288.602,-85.683,21.7245,nan,0.153925,-168.582
4.99985e+06,157.856,-84.2082,15.9299,nan,0.172521,-168.112
