f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.05459,1.93484,7.05057,189.54,0.022987,-51.8648
251.999,7.14442,2.33618,7.13848,183.929,0.0294869,-48.4501
317.003,7.1684,2.89465,7.15925,181.747,0.0316153,-58.8389
399.002,7.19329,3.54345,7.17954,177.337,0.0359766,-69.5843
502.001,7.26027,4.34066,7.23945,174.215,0.0396254,-81.3769
632.009,7.32021,5.28593,7.28907,169.826,0.0471634,-87.1452
796.006,7.4039,6.31531,7.35897,162.838,0.0556991,-106.667
1000,7.53735,7.32778,7.47579,153.004,0.0623727,-106.859
1260,7.66579,8.3933,7.58369,141.339,0.0720084,-118.763
1590,7.89362,9.245,7.79109,126.94,0.0817675,-130.004
1999.99,8.10742,9.88496,7.98706,110.757,0.0883163,-138.462
2519.99,8.32933,10.3631,8.19346,94.6294,0.0955993,-146.404
3169.95,8.55298,10.7194,8.40373,79.8723,0.102593,-154.77
3979.99,8.77195,11.1792,8.6055,68.0085,0.0996155,-159.029
5019.98,8.86117,11.9551,8.66897,58.1949,0.110073,-166.627
6310,9.01786,13.0324,8.78558,51.2915,0.105431,-170.547
7950.03,9.15884,14.6953,8.85924,46.5131,0.107947,-175.75
9999.97,9.30045,16.9909,8.89449,43.2548,0.111705,178.424
12599.8,9.49079,20.0611,8.91495,41.1226,0.110694,174.012
15900,9.77397,23.9696,8.93107,39.7455,0.109348,168.415
19999.9,10.1909,28.6264,8.94517,38.8532,0.104678,163.304
25099.9,10.8001,33.9701,8.95682,38.2649,0.0983995,157.523
31599.8,11.7102,40.001,8.97042,37.9121,0.0907958,152.508
39800,13.0216,46.3835,8.98269,37.6985,0.0819634,147.772
50100.3,14.8494,52.7083,8.99687,37.5287,0.0725783,142.323
63099.4,17.3799,58.7718,9.01057,37.4855,0.0637986,138.838
79400.1,19.9742,64.3011,8.66163,36.0773,0.0375126,94.1555
99900.9,24.445,69.1614,8.69598,36.3965,0.0272205,96.9547
125999,30.1795,73.0497,8.79859,36.465,0.0200836,85.2231
157999,37.3224,76.2385,8.87827,36.5161,0.0165134,83.1449
199001,46.7662,78.7611,9.11477,36.6849,0.0124326,83.6993
250999,58.8857,80.755,9.46037,36.8537,0.00840193,85.3749
316001,74.0087,82.1567,10.0996,36.9261,0.00823779,56.005
397999,94.1472,83.2566,11.055,37.3879,0.0050404,63.8371
500995,119.594,84.1461,12.1976,37.7944,0.00906684,12.2297
629983,154.884,84.5997,14.5768,38.9553,0.00937383,-10.9922
792993,203.9,85.0191,17.7035,40.7684,0.0178112,-25.2523
997981,278.707,84.9842,24.3674,44.2772,0.0279896,-23.4565
1.26e+06,411.145,84.4181,39.9918,51.6871,0.0542672,-20.3372
1.57993e+06,708.783,82.5665,91.6997,70.7994,0.114028,-19.7401
1.9901e+06,2284.4,72.6563,680.985,174.385,0.659098,-43.8767
2.50997e+06,1433.92,-77.5889,308.186,nan,0.255653,-167.439
3.16024e+06,522.388,-84.391,51.0581,nan,0.149676,-165.453
3.97023e+06,279.489,-84.9985,24.3663,nan,0.132807,-160.602
4.99977e+06,152.637,-83.5901,17.0404,nan,0.149165,-160.136
