f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
199.999,7.30735,1.90198,7.30332,192.998,0.0528225,-19.0138
252,7.32912,2.31638,7.32313,187.086,0.0537989,-22.968
317.004,7.32101,2.79942,7.31227,179.514,0.0581732,-27.2382
398.999,7.37475,3.46066,7.36131,177.569,0.0527048,-36.1215
502,7.41608,4.20757,7.39609,172.508,0.053645,-47.2883
632.058,7.48381,5.14497,7.45366,168.99,0.0550385,-58.5103
795.967,7.56813,6.17095,7.52428,162.668,0.05665,-68.5
999.997,7.69057,7.20603,7.62983,153.535,0.0590636,-80.5468
1259.99,7.83746,8.23261,7.75669,141.758,0.0617644,-90.6204
1589.99,8.04848,9.05939,7.94808,126.854,0.0622724,-102.304
2000,8.26345,9.70684,8.14515,110.874,0.0662844,-117.713
2519.99,8.49191,10.1224,8.35973,94.2591,0.0668037,-128.799
3169.96,8.7039,10.4363,8.55991,79.1591,0.0703903,-139.945
3979.97,8.90075,10.8896,8.74048,67.2416,0.0709548,-147.725
5019.99,9.04437,11.5271,8.86195,57.3007,0.0736079,-155.065
6309.97,9.17618,12.6702,8.95273,50.7656,0.0737208,-160.783
7950.02,9.29278,14.3478,9.00293,46.1011,0.0746076,-165.926
10000,9.43725,16.5792,9.04491,42.8575,0.0752477,-172.581
12599.8,9.63026,19.5507,9.07504,40.7076,0.0758188,-177.964
15900.1,9.90551,23.3893,9.09157,39.3607,0.0749389,176.594
19999.9,10.2831,27.9892,9.08033,38.4036,0.0706879,171.2
25099.9,10.8988,33.3138,9.10785,37.9557,0.0703917,165.136
31599.7,11.7841,39.3532,9.11208,37.635,0.0654916,158.873
39800.2,13.0711,45.6804,9.13223,37.3962,0.0607455,153.057
50100,14.8808,52.0627,9.14867,37.283,0.0554098,148.061
63098.8,17.3767,58.17,9.16447,37.2382,0.047739,145.681
79400,20.7301,63.583,9.22284,37.2139,0.0411103,142.775
99900.4,25.1462,68.2477,9.31907,37.2088,0.0361913,143.349
126002,30.9248,72.2721,9.41649,37.2066,0.0303326,144.462
158000,38.1745,75.5062,9.55412,37.2298,0.0259967,147.287
198998,47.7085,78.0751,9.85798,37.3328,0.0237909,151.618
250998,59.9537,80.1388,10.2678,37.4544,0.0217264,155.473
315995,75.5426,81.7435,10.8483,37.6536,0.016865,165.926
397997,95.7149,82.9946,11.6737,37.9896,0.0149511,172.728
500995,122.332,83.819,13.1713,38.6362,0.0134853,-177.603
630004,157.843,84.445,15.2793,39.6878,0.0113249,-163.526
793014,208.332,84.7622,19.0186,41.6368,0.00735389,-141.939
997960,284.742,84.7826,25.893,45.2226,0.0120394,-49.7626
1.26018e+06,421.266,84.2564,42.1593,52.9368,0.0314355,-29.9577
1.58002e+06,725.694,82.3264,96.9011,72.4443,0.092843,-20.1814
1.99016e+06,2340.14,72.6404,698.224,178.619,0.656776,-43.6539
2.51018e+06,1479.73,-77.9945,307.792,nan,0.277101,-170.224
3.1596e+06,540.802,-84.8086,48.9333,nan,0.172632,-171.05
3.96974e+06,289.289,-85.6934,21.7238,nan,0.154929,-168.678
5.00002e+06,158.046,-84.4068,15.404,nan,0.172609,-168.542
