f_hz,Z_mag,Z_deg,R_ohm,L_uH,emfC_ratio,emfC_deg
200,7.20095,1.93629,7.19684,193.618,0.0832084,-14.4674
251.999,7.23815,2.34275,7.2321,186.866,0.0798465,-17.4255
317.004,7.38491,2.83637,7.37587,183.47,0.0621244,-26.7441
399.002,7.31121,3.53566,7.29729,179.848,0.0734371,-28.4478
502.001,7.36172,4.34458,7.34056,176.809,0.0696819,-36.7203
631.995,7.51037,5.20458,7.4794,171.567,0.0633841,-48.4615
796.013,7.59501,6.23003,7.55015,164.793,0.0623639,-61.0316
1000,7.73187,7.27145,7.66969,155.753,0.0623593,-74.7941
1260.01,7.90989,8.23776,7.82828,143.155,0.0636085,-88.8071
1590,8.11594,9.09779,8.01384,128.454,0.0656814,-101.483
1999.99,8.35021,9.70047,8.23082,111.965,0.0673625,-114.817
2520,8.51566,10.1948,8.38121,95.1922,0.0652655,-119.025
3169.96,8.67213,10.5771,8.52477,79.9224,0.0636901,-128.283
3979.99,8.88942,10.962,8.72722,67.5969,0.0661927,-141.623
5019.98,8.99484,11.6835,8.80848,57.7495,0.0624435,-146.367
6310,9.14838,12.7535,8.92268,50.9388,0.0643173,-155.539
7950.01,9.28804,14.3654,8.99764,46.133,0.0669119,-164.463
10000,9.42863,16.5775,9.03672,42.8143,0.0663667,-170.322
12599.8,9.6154,19.6094,9.05774,40.7617,0.0630681,-174.343
15900.1,9.88934,23.4414,9.07314,39.379,0.0596283,-179.672
20000,10.2966,28.0622,9.08606,38.5459,0.0589471,174.388
25099.9,10.8955,33.3452,9.10179,37.9756,0.0566713,168.011
31599.8,11.8024,39.2488,9.13983,37.6093,0.0561526,161.572
39800,13.1039,45.6129,9.16618,37.447,0.0533587,155.984
50100.2,14.8777,52.0594,9.14745,37.2734,0.0462511,151.685
63098.8,17.3665,58.1273,9.1701,37.1992,0.0419351,146.765
79400.1,20.7746,63.2524,9.34985,37.1862,0.0326537,148.83
99899.3,25.1566,68.0729,9.39416,37.179,0.0287047,149.967
125999,30.958,71.9881,9.57266,37.1881,0.0258154,151.573
157998,38.2434,75.1786,9.78294,37.2417,0.0243825,153.704
199001,47.694,77.8779,10.0155,37.2937,0.0212095,157.725
251002,59.7984,80.0362,10.3467,37.345,0.0178616,163.069
315994,75.3184,81.6539,10.9327,37.5334,0.015731,168.31
398012,95.49,82.9329,11.7483,37.8939,0.0142905,173.527
501006,122.019,83.8398,13.0937,38.538,0.0117524,-172.171
629985,157.527,84.3837,15.4166,39.6055,0.0102083,-159.848
792980,207.894,84.7356,19.0748,41.5493,0.00724053,-111.731
998016,285.282,84.7009,26.3469,45.2998,0.010898,-69.6362
1.26004e+06,420.754,84.1786,42.6761,52.871,0.031357,-30.5152
1.58e+06,726.386,82.2745,97.6455,72.5056,0.0912581,-21.2306
1.98986e+06,2345.06,72.5126,704.678,178.896,0.656367,-43.8768
2.51007e+06,1472.58,-78.0672,304.479,nan,0.278079,-169.859
3.15994e+06,537.641,-84.9266,47.545,nan,0.172748,-170.284
3.97012e+06,288.303,-85.7379,21.4263,nan,0.154687,-168.069
5.00028e+06,157.872,-84.2543,15.805,nan,0.171695,-167.28
